start_id,end_id,cost_group,path_length,avg_cost,success,timestamp
0,0,standard,111978.92490855594,1.234977863015403,True,2025-04-04 22:03:49
1,0,standard,99133.1032503943,1.6749221152666265,True,2025-04-04 22:03:52
2,0,standard,97889.24220977731,1.7585716551046227,True,2025-04-04 22:03:57
3,0,standard,114762.46297640928,1.5846428655529192,True,2025-04-04 22:04:02
4,0,standard,93274.9694755476,1.2018245933386027,True,2025-04-04 22:04:04
5,0,standard,112871.93419377512,1.3727900031726126,True,2025-04-04 22:04:08
6,0,standard,92696.3671125391,1.5281784629861097,True,2025-04-04 22:04:12
7,0,standard,112021.6227223004,1.4310595992068593,True,2025-04-04 22:04:16
8,0,standard,107586.87576530242,1.234785594822988,True,2025-04-04 22:04:19
9,0,standard,107694.69220199189,1.5875554988391456,True,2025-04-04 22:04:23
10,0,standard,123162.12297855782,1.5072034445598286,True,2025-04-04 22:04:28
11,0,standard,160165.8008689985,1.4134376122668653,True,2025-04-04 22:04:35
12,0,standard,96301.46556867745,1.470144246024039,True,2025-04-04 22:04:39
13,0,standard,92750.57401769003,1.6088853093434767,True,2025-04-04 22:04:41
14,0,standard,92862.94609677137,1.2392365300358683,True,2025-04-04 22:04:43
15,0,standard,87804.47228713735,1.7019512919849122,True,2025-04-04 22:04:45
16,0,standard,100322.24589732589,1.2365077972155598,True,2025-04-04 22:04:47
17,0,standard,135627.60713175556,1.4595472316733247,True,2025-04-04 22:04:53
18,0,standard,90914.28940597299,1.57958772026041,True,2025-04-04 22:04:57
19,0,standard,132249.67644181577,1.5102326495518898,True,2025-04-04 22:05:03
20,0,standard,130945.3952372085,1.5805158267894603,True,2025-04-04 22:05:09
21,0,standard,96970.51665898882,1.4535640028645884,True,2025-04-04 22:05:13
22,0,standard,115191.11406953706,1.560390648204397,True,2025-04-04 22:05:18
23,0,standard,160407.32149862978,1.430041120392551,True,2025-04-04 22:05:25
24,0,standard,108551.07400493558,1.5466752151915582,True,2025-04-04 22:05:29
25,0,standard,104419.48225450268,1.6443802081402639,True,2025-04-04 22:05:32
26,0,standard,109116.55562830991,1.2172656161730397,True,2025-04-04 22:05:35
27,0,standard,97760.05669940893,1.6826255100374472,True,2025-04-04 22:05:37
28,0,standard,109026.26405462998,1.6568398099618613,True,2025-04-04 22:05:41
29,0,standard,140477.67855850494,1.42149730459384,True,2025-04-04 22:05:47
30,0,standard,103454.94371107033,1.582812503590698,True,2025-04-04 22:05:51
31,0,standard,122439.1733497872,1.5830368503411238,True,2025-04-04 22:05:56
32,0,standard,151809.92768188234,1.4086327954717166,True,2025-04-04 22:06:03
33,0,standard,93026.28418450081,1.6110558348183985,True,2025-04-04 22:06:05
34,0,standard,122952.15993837628,1.450353413240756,True,2025-04-04 22:06:09
35,0,standard,126571.51686555597,1.5371848238706014,True,2025-04-04 22:06:14
36,0,standard,129963.73182795022,1.4834934181589223,True,2025-04-04 22:06:20
37,0,standard,118005.81536426296,1.2211204718736226,True,2025-04-04 22:06:24
38,0,standard,123117.83594420389,1.1929832316777083,True,2025-04-04 22:06:27
39,0,standard,134856.46410862554,1.2420939616402036,True,2025-04-04 22:06:31
40,0,standard,112524.45499303767,1.6777013454716605,True,2025-04-04 22:06:37
41,0,standard,94476.61582278222,1.6767695758517547,True,2025-04-04 22:06:41
42,0,standard,100906.61555377036,1.6426174796776958,True,2025-04-04 22:06:45
43,0,standard,92673.14047922463,1.5988619021995887,True,2025-04-04 22:06:48
44,0,standard,90324.23507818313,1.5207433924166451,True,2025-04-04 22:06:51
45,0,standard,104289.03636297095,1.6715750711417747,True,2025-04-04 22:06:55
46,0,standard,122983.24893966418,1.5896272187434395,True,2025-04-04 22:07:00
47,0,standard,121981.21689537013,1.2087278426062449,True,2025-04-04 22:07:03
48,0,standard,141194.56061770604,1.521599000677287,True,2025-04-04 22:07:09
49,0,standard,108932.16860389407,1.595486058372481,True,2025-04-04 22:07:13
50,0,standard,117066.13833702661,1.7666100313419595,True,2025-04-04 22:07:17
51,0,standard,113400.71104144212,1.3876163189933262,True,2025-04-04 22:07:21
52,0,standard,92478.93637290901,1.20326716767008,True,2025-04-04 22:07:23
53,0,standard,107111.18549628643,1.6078838428240612,True,2025-04-04 22:07:26
54,0,standard,124283.90040899039,1.2086969374258851,True,2025-04-04 22:07:30
