timestamp_ms,x,y,velocity_north_ms,velocity_east_ms,heading_deg,acceleration_north_ms2,acceleration_east_ms2,goal_id,utm_x,utm_y
0,-981867.09145351,8846764.180494713,-0.4399999976158142,-0.089999996125698,258.4398696290711,0.0,0.0,0,-981867.09145351,8846764.180494713
250,-981867.1082535563,8846763.943812653,-0.946728240127565,-0.06720018523040044,265.9398696290711,-2.026912970047003,0.09119924358119025,0,-981867.1082535563,8846763.943812653
500,-981867.086516544,8846763.582187805,-1.4464993918523756,0.08694804923767865,273.4398696290711,-1.9990846068992427,0.6165929378723164,0,-981867.086516544,8846763.582187805
750,-981866.994041643,8846763.103765596,-1.9136888371003895,0.3698996039446146,280.9398696290711,-1.8687577809920555,1.1318062188277436,0,-981866.994041643,8846763.103765596
1000,-981866.8003725931,8846762.522924734,-2.323363444785599,0.77467619946692,288.4398696290711,-1.6386984307408383,1.6191063820892218,0,-981866.8003725931,8846762.522924734
1250,-981866.4778670073,8846761.85992523,-2.6519980188734236,1.2900223435365172,295.9398696290711,-1.314538296351298,2.061384576278389,0,-981866.4778670073,8846761.85992523
1500,-981866.1749057395,8846761.401155317,-1.8350796495445163,1.211845071055433,303.4398696290711,3.267673477315629,-0.3127090899243372,0,-981866.1749057395,8846761.401155317
1750,-981865.7327465301,8846760.891429916,-2.038901606410518,1.768636837831858,310.9398696290711,-0.8152878274640063,2.2271670671057002,0,-981865.7327465301,8846760.891429916
2000,-981865.1343050499,8846760.360852933,-2.122307934630641,2.3937659208261324,318.4398696290711,-0.3336253128804927,2.5005163319770976,0,-981865.1343050499,8846760.360852933
2250,-981864.3681728438,8846759.842919566,-2.071733469268304,3.0645288241039226,325.9398696290711,0.20229786144934891,2.683051613111161,0,-981864.3681728438,8846759.842919566
2500,-981863.4291829353,8846759.373525413,-1.8775766121958672,3.7559596343851784,333.4398696290711,0.7766274282897463,2.7657232411250234,0,-981863.4291829353,8846759.373525413
2750,-981862.3188109365,8846758.989889735,-1.5345427103674751,4.44148799482778,340.9398696290711,1.3721356073135684,2.742113441770405,0,-981862.3188109365,8846758.989889735
3000,-981861.2474609344,8846758.770749971,-0.8765590595897336,4.285400008139286,348.4398696290711,2.6319346031109663,-0.6243519467539755,0,-981861.2474609344,8846758.770749971
3250,-981860.2064256247,8846758.69685573,-0.2955769678491157,4.164141239114371,355.9398696290711,2.3239283669624715,-0.4850350760996598,0,-981860.2064256247,8846758.69685573
3500,-981859.0767359978,8846758.764760569,0.27161935871424103,4.518758507410233,3.4398696290710973,2.268785306253427,1.4184690731834486,0,-981859.0767359978,8846758.764760569
3750,-981857.8714426464,8846758.997733414,0.9318913811027046,4.821173405942158,10.939869629071097,2.6410880895538544,1.2096595941277002,0,-981857.8714426464,8846758.997733414
4000,-981856.5933243382,8846759.396735849,1.5960097403472375,5.112473232491192,17.337297672075426,2.6564734369781315,1.1651993061961363,0,-981856.5933243382,8846759.396735849
4250,-981855.5250978217,8846759.826539464,1.7192144585940214,4.272906065867832,21.917512212088173,0.49281887298713567,-3.3582686664934407,0,-981855.5250978217,8846759.826539464
4500,-981854.3700174671,8846760.369785378,2.1729836521407266,4.6203214185956325,25.188073721595856,1.8150767741868208,1.3896614109112022,0,-981854.3700174671,8846760.369785378
4750,-981853.1272516728,8846761.017548945,2.5910542664799188,4.97106317732899,27.529759644049257,1.6722824573567685,1.402967034933429,0,-981853.1272516728,8846761.017548945
5000,-981852.0676825985,8846761.609993052,2.369776426719029,4.238276297075666,29.21116382506272,-0.8851113590435595,-2.931147521013294,0,-981852.0676825985,8846761.609993052
5250,-981851.1824909785,8846762.129644016,2.0786038527617667,3.5407664797918015,30.41502720405453,-1.1646902958290486,-2.790039269135459,0,-981851.1824909785,8846762.129644016
5500,-981850.1983557465,8846762.727403903,2.391039548916961,3.9365409280082213,31.274331600367574,1.2497427846207767,1.5830977928656793,0,-981850.1983557465,8846762.727403903
5750,-981849.1145608153,8846763.40172971,2.697303230534009,4.335179724781341,31.889439498433248,1.2250547264681924,1.5945551870924781,0,-981849.1145608153,8846763.40172971
6000,-981848.0238094503,8846764.092102552,2.7614913664740244,4.363005459685318,32.33108121508231,0.2567525437600615,0.11130293961590709,0,-981848.0238094503,8846764.092102552
6250,-981847.0947735249,8846764.68735402,2.3810058730959343,3.716143701738483,32.64848043119094,-1.5219419735123605,-2.587447031787338,0,-981847.0947735249,8846764.68735402
6500,-981846.2182615103,8846765.253871066,2.266068183936767,3.5060480585647094,32.875846225836305,-0.4597507566366694,-0.8403825726950949,0,-981846.2182615103,8846765.253871066
6750,-981845.5005441356,8846765.720649846,1.8671151180165493,2.8708694989243466,33.03859577856212,-1.5958122636808705,-2.540714238561451,0,-981845.5005441356,8846765.720649846
7000,-981844.8890901599,8846766.12008357,1.5977349003674788,2.4458159027642696,33.154670422154105,-1.077520870596282,-1.700214384640308,0,-981844.8890901599,8846766.12008357
7250,-981844.1736615164,8846766.588911576,1.8753120249563542,2.8617145738990866,33.237252150759915,1.1103084983555016,1.6635946845392677,0,-981844.1736615164,8846766.588911576
7500,-981843.3542350205,8846767.127096154,2.15273830975535,3.277705983530168,33.29618875028594,1.1097051391959836,1.663965638524326,0,-981843.3542350205,8846767.127096154
7750,-981842.4307752262,8846767.734581962,2.429943235919009,3.6938391771048584,33.338389338362354,1.1088197046546355,1.6645327742987615,0,-981842.4307752262,8846767.734581962
8000,-981841.4856139335,8846768.357060758,2.489915182576727,3.780645170853064,33.368712877783395,0.23988778663087196,0.3472239749928221,0,-981841.4856139335,8846768.357060758
8250,-981840.5725812977,8846768.958878396,2.4072705521376037,3.652130543055676,33.390531576661914,-0.33057852175649316,-0.5140585111895515,0,-981840.5725812977,8846768.958878396
8500,-981839.5553650619,8846769.629767573,2.683556707277486,4.068864943521321,33.4062278128875,1.10514462055953,1.66693760186258,0,-981839.5553650619,8846769.629767573
8750,-981838.6842484379,8846770.204546401,2.2991153171204086,3.4844664960074114,33.41756518986043,-1.5377655606283103,-2.3375937900556387,0,-981838.6842484379,8846770.204546401
9000,-981837.7088885908,8846770.848306207,2.5750392248454594,3.9014393882275873,33.42572395795819,1.1036956309002033,1.6678915688807034,0,-981837.7088885908,8846770.848306207
9250,-981836.6975891048,8846771.515936418,2.670520843360283,4.045197944314581,33.43162029280964,0.3819264740592949,0.5750342243479754,0,-981836.6975891048,8846771.515936418
9500,-981835.5900995666,8846772.247187017,2.9250023994277394,4.429958152360812,33.43589133906993,1.017926224269825,1.5390408321849236,0,-981835.5900995666,8846772.247187017
9750,-981834.5686198481,8846772.921726828,2.698159246638899,4.0859188739649746,33.43899951116948,-0.9073726111553615,-1.37615711358335,0,-981834.5686198481,8846772.921726828
10000,-981833.4428603096,8846773.66519212,2.973861164327628,4.503038153822926,33.44125774765192,1.102807670754915,1.668477119431806,0,-981833.4428603096,8846773.66519212
10250,-981832.4082394049,8846774.348511131,2.7332760493927695,4.138483618967435,33.4429074693286,-0.9623404597394334,-1.4582181394219624,0,-981832.4082394049,8846774.348511131
10500,-981831.5300873134,8846774.928516248,2.320020466194056,3.51260836609377,33.44411050608634,-1.653022332794853,-2.503501011494661,0,-981831.5300873134,8846774.928516248
10750,-981830.8083969508,8846775.405196743,1.9067219768960117,2.8867614502064916,33.444983582142726,-1.6531939571921779,-2.5033876635491144,0,-981830.8083969508,8846775.405196743
11000,-981829.9824106619,8846775.950778324,2.182326326177752,3.3039451559216064,33.44561376973356,1.1024173971269615,1.6687348228604595,0,-981829.9824106619,8846775.950778324
11250,-981829.0596964373,8846776.560261354,2.437932117123493,3.6908568979963903,33.44607120746693,1.022423163782964,1.5476469682991354,0,-981829.0596964373,8846776.560261354
11500,-981828.032685548,8846777.238644352,2.7135319936772246,4.108043557399115,33.446405205604506,1.102399506214926,1.668746637610898,0,-981828.032685548,8846777.238644352
11750,-981826.9453165649,8846777.956903052,2.8730347985179154,4.349475932239073,33.44665077724368,0.6380112193627632,0.9657294993598313,0,-981826.9453165649,8846777.956903052
12000,-981825.9239290715,8846778.631582502,2.6987178032012262,4.08554997320201,33.44683235840646,-0.6972679812667568,-1.0557038361482505,0,-981825.9239290715,8846778.631582502
