timestamp_ms,x,y,velocity_north_ms,velocity_east_ms,heading_deg,acceleration_north_ms2,acceleration_east_ms2,goal_id,utm_x,utm_y
0,-981862.8558158012,8846758.80141532,0.0999999940395355,0.0099999997764825,84.28940665117028,0.0,0.0,0,-981862.8558158012,8846758.80141532
250,-981862.7701167249,8846759.16649157,1.4603050000666036,0.3427963050858003,76.78940665117028,5.441220024108272,1.331185221237271,0,-981862.7701167249,8846759.16649157
500,-981862.5064296034,8846759.863929283,2.789750854441024,1.0547484859231835,69.28940665117028,5.317783417497681,2.847808723349533,0,-981862.5064296034,8846759.863929283
750,-981861.8927027098,8846761.008017132,4.5763513937210725,2.4549075748606835,61.78940665117028,7.146402157120194,5.60063635575,0,-981861.8927027098,8846761.008017132
1000,-981860.894906371,8846762.396056047,5.552155661366386,3.9911853549855008,54.28940665117028,3.9032170705812526,6.145111120499269,0,-981860.894906371,8846762.396056047
1250,-981859.3409468353,8846764.05024188,6.616743331673294,6.21583814247005,46.78940665117028,4.258350681227633,8.898611149938196,0,-981859.3409468353,8846764.05024188
1500,-981857.0802370445,8846765.899913514,7.398686532690396,9.042839163565427,39.28940665117028,3.1277728040684103,11.308004084381508,0,-981857.0802370445,8846765.899913514
1750,-981854.6681806173,8846767.447082035,6.188674087879944,9.648225708884883,32.677383626288155,-4.840049779241809,2.421546181277826,0,-981854.6681806173,8846767.447082035
2000,-981852.177454844,8846768.760451732,5.253478784242492,9.962903093213907,27.80286136652378,-3.740781214549809,1.2587095373160935,0,-981852.177454844,8846768.760451732
2250,-981849.6500589108,8846769.896395339,4.543774424262896,10.109583732879889,24.201637758486267,-2.838817439918383,0.5867225586639293,0,-981849.6500589108,8846769.896395339
2500,-981847.1100996486,8846770.898705317,4.009239913472817,10.15983704889073,21.535012928980414,-2.138138043160314,0.20101326404336106,0,-981847.1100996486,8846770.898705317
2750,-981844.5712704434,8846771.800516423,3.6072444247761855,10.155316820789228,19.555418527390028,-1.6079819547865277,-0.018080912406006178,0,-981844.5712704434,8846771.800516423
3000,-981842.0411745774,8846772.626581978,3.3042622177047445,10.12038346385882,18.081640503957903,-1.2119288282857639,-0.13973342772163022,0,-981842.0411745774,8846772.626581978
3250,-981839.5238273465,8846773.395292979,3.074844000075967,10.069388923921126,16.980863330886656,-0.9176728705151103,-0.2039781597507755,0,-981839.5238273465,8846773.395292979
3500,-981837.0211163806,8846774.120295929,2.9000118031713527,10.010843863591496,16.155617782993442,-0.6993287876184571,-0.23418024131851922,0,-981837.0211163806,8846774.120295929
3750,-981834.533664543,8846774.811730115,2.7657367452946655,9.949807350502649,15.534275187588888,-0.5371002315067486,-0.24414605235539,0,-981834.533664543,8846774.811730115
4000,-981832.0613470213,8846775.477151705,2.6616863581263233,9.889270086598714,15.064115379025768,-0.416201548673369,-0.24214905561574085,0,-981832.0613470213,8846775.477151705
4250,-981829.6036055014,8846776.122215413,2.5802548270653753,9.830966079821016,14.706265947352826,-0.32572612424379166,-0.23321602711079237,0,-981829.6036055014,8846776.122215413
4500,-981827.1596413106,8846776.751174077,2.5158346560122573,9.775856763119284,14.432003380134514,-0.25768068421247214,-0.22043726680692544,0,-981827.1596413106,8846776.751174077
4750,-981824.7285350851,8846777.367243614,2.4642781441484893,9.72442490180003,14.220045551230717,-0.2062260474550719,-0.20572744527702014,0,-981824.7285350851,8846777.367243614
5000,-981822.309321012,8846777.972869147,2.4225021338283543,9.676856292480048,14.054565114211742,-0.16710404128054002,-0.19027443727992477,0,-981822.309321012,8846777.972869147
5250,-981820.0279633414,8846778.833951073,3.4443277033971165,9.125430682333878,20.67865086619329,4.0873022782750486,-2.2057024405846803,0,-981820.0279633414,8846778.833951073
5500,-981817.8320362426,8846779.884361776,4.201642810913854,8.783708395646773,25.563887077304564,3.02926043006695,-1.36688914674842,0,-981817.8320362426,8846779.884361776
5750,-981815.7100044187,8846781.069242459,4.739522736022282,8.48812729538997,29.177717144298573,2.151519700433713,-1.1823244010272091,0,-981815.7100044187,8846781.069242459
6000,-981813.6486485134,8846782.350319432,5.124307892051357,8.245423621438178,31.859833940724066,1.5391406241162997,-0.9708146958071708,0,-981813.6486485134,8846782.350319432
6250,-981811.6357620663,8846783.700766888,5.401789819758219,8.051545788121858,33.85769833833468,1.1099277108274457,-0.7755113332652783,0,-981811.6357620663,8846783.700766888
6500,-981809.6610330553,8846785.101643428,5.603506166010341,7.898916044277552,35.35196250946128,0.8068653850084893,-0.6105189753772251,0,-981809.6610330553,8846785.101643428
6750,-981807.7161359793,8846786.539466688,5.751293043517201,7.779588304197977,36.47477110188463,0.5911475100274401,-0.4773109603182988,0,-981807.7161359793,8846786.539466688
