slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,0.6434902065412054,-0.022845449352699717,5.239468933707664
"(-30, -25]",0,,,,,0.6434902065412054,-0.022845449352699717,5.239468933707664
"(-25, -20]",3,5.53,1.35,5.584,-20.642,0.6434902065412054,-0.022845449352699717,5.239468933707664
"(-20, -15]",2,5.968,0.838,5.968,-18.512,0.6434902065412054,-0.022845449352699717,5.239468933707664
"(-15, -10]",7,5.413,1.885,6.21,-11.049,0.6434902065412054,-0.022845449352699717,5.239468933707664
"(-10, -5]",14,5.149,1.769,5.875,-7.127,0.6434902065412054,-0.022845449352699717,5.239468933707664
"(-5, 0]",25,5.121,1.851,5.981,-2.74,0.6434902065412054,-0.022845449352699717,5.239468933707664
"(0, 5]",21,5.413,1.689,5.977,2.812,0.6434902065412054,-0.022845449352699717,5.239468933707664
"(5, 10]",16,5.224,1.472,5.437,6.867,0.6434902065412054,-0.022845449352699717,5.239468933707664
"(10, 15]",6,5.262,1.044,5.279,11.59,0.6434902065412054,-0.022845449352699717,5.239468933707664
"(15, 20]",1,3.178,,3.178,18.712,0.6434902065412054,-0.022845449352699717,5.239468933707664
"(20, 25]",5,4.45,1.34,3.995,22.396,0.6434902065412054,-0.022845449352699717,5.239468933707664
"(25, 30]",0,,,,,0.6434902065412054,-0.022845449352699717,5.239468933707664
"(30, 35]",0,,,,,0.6434902065412054,-0.022845449352699717,5.239468933707664
