,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,binned_r2,bin_regression_coef,bin_regression_intercept
,count,mean,std,median,mean,,,
slope_bin,,,,,,,,
"(-35, -30]",0,,,,,0.6806700819113232,-0.03200821350115316,6.110197858317105
"(-30, -25]",0,,,,,0.6806700819113232,-0.03200821350115316,6.110197858317105
"(-25, -20]",0,,,,,0.6806700819113232,-0.03200821350115316,6.110197858317105
"(-20, -15]",1,7.097,,7.097,-16.938,0.6806700819113232,-0.03200821350115316,6.110197858317105
"(-15, -10]",3,6.609,0.551,6.481,-12.333,0.6806700819113232,-0.03200821350115316,6.110197858317105
"(-10, -5]",1,4.689,,4.689,-7.312,0.6806700819113232,-0.03200821350115316,6.110197858317105
"(-5, 0]",5,6.199,0.847,6.344,-2.578,0.6806700819113232,-0.03200821350115316,6.110197858317105
"(0, 5]",3,5.697,0.294,5.811,3.251,0.6806700819113232,-0.03200821350115316,6.110197858317105
"(5, 10]",1,6.444,,6.444,7.677,0.6806700819113232,-0.03200821350115316,6.110197858317105
"(10, 15]",3,5.938,1.366,6.197,11.591,0.6806700819113232,-0.03200821350115316,6.110197858317105
"(15, 20]",1,6.618,,6.618,17.485,0.6806700819113232,-0.03200821350115316,6.110197858317105
"(20, 25]",1,5.998,,5.998,20.41,0.6806700819113232,-0.03200821350115316,6.110197858317105
"(25, 30]",0,,,,,0.6806700819113232,-0.03200821350115316,6.110197858317105
"(30, 35]",0,,,,,0.6806700819113232,-0.03200821350115316,6.110197858317105
