slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,0.2120656812836651,-0.017042027804915996,6.3120285441044865
"(-30, -25]",0,,,,,0.2120656812836651,-0.017042027804915996,6.3120285441044865
"(-25, -20]",8,7.294,0.157,7.236,-21.472,0.2120656812836651,-0.017042027804915996,6.3120285441044865
"(-20, -15]",10,6.817,0.643,6.807,-17.068,0.2120656812836651,-0.017042027804915996,6.3120285441044865
"(-15, -10]",44,6.498,0.81,6.499,-12.044,0.2120656812836651,-0.017042027804915996,6.3120285441044865
"(-10, -5]",30,5.743,0.815,5.784,-6.568,0.2120656812836651,-0.017042027804915996,6.3120285441044865
"(-5, 0]",52,6.371,1.053,6.819,-2.833,0.2120656812836651,-0.017042027804915996,6.3120285441044865
"(0, 5]",51,5.904,0.818,6.139,2.9,0.2120656812836651,-0.017042027804915996,6.3120285441044865
"(5, 10]",33,5.596,1.005,5.524,6.335,0.2120656812836651,-0.017042027804915996,6.3120285441044865
"(10, 15]",49,6.194,0.764,6.421,11.868,0.2120656812836651,-0.017042027804915996,6.3120285441044865
"(15, 20]",10,5.963,1.137,6.412,17.115,0.2120656812836651,-0.017042027804915996,6.3120285441044865
"(20, 25]",9,6.747,0.184,6.716,21.373,0.2120656812836651,-0.017042027804915996,6.3120285441044865
"(25, 30]",0,,,,,0.2120656812836651,-0.017042027804915996,6.3120285441044865
"(30, 35]",0,,,,,0.2120656812836651,-0.017042027804915996,6.3120285441044865
