,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,binned_r2,bin_regression_coef,bin_regression_intercept
,count,mean,std,median,mean,,,
slope_bin,,,,,,,,
"(-35, -30]",0,,,,,0.9851540879368228,-0.05028988118050088,5.968977951015737
"(-30, -25]",0,,,,,0.9851540879368228,-0.05028988118050088,5.968977951015737
"(-25, -20]",0,,,,,0.9851540879368228,-0.05028988118050088,5.968977951015737
"(-20, -15]",1,7.097,,7.097,-16.938,0.9851540879368228,-0.05028988118050088,5.968977951015737
"(-15, -10]",2,6.68,0.752,6.68,-13.255,0.9851540879368228,-0.05028988118050088,5.968977951015737
"(-10, -5]",1,4.689,,4.689,-7.312,0.9851540879368228,-0.05028988118050088,5.968977951015737
"(-5, 0]",3,6.018,0.98,6.344,-2.865,0.9851540879368228,-0.05028988118050088,5.968977951015737
"(0, 5]",2,5.933,0.382,5.933,1.245,0.9851540879368228,-0.05028988118050088,5.968977951015737
"(5, 10]",1,5.955,,5.955,5.671,0.9851540879368228,-0.05028988118050088,5.968977951015737
"(10, 15]",2,5.399,1.327,5.399,11.811,0.9851540879368228,-0.05028988118050088,5.968977951015737
"(15, 20]",1,6.708,,6.708,16.339,0.9851540879368228,-0.05028988118050088,5.968977951015737
"(20, 25]",0,,,,,0.9851540879368228,-0.05028988118050088,5.968977951015737
"(25, 30]",0,,,,,0.9851540879368228,-0.05028988118050088,5.968977951015737
"(30, 35]",0,,,,,0.9851540879368228,-0.05028988118050088,5.968977951015737
