,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,binned_r2,bin_regression_coef,bin_regression_intercept
,count,mean,std,median,mean,,,
slope_bin,,,,,,,,
"(-35, -30]",0,,,,,0.001511754059791648,-0.0008450084320031512,6.300252857526731
"(-30, -25]",3,7.251,0.059,7.218,-26.547,0.001511754059791648,-0.0008450084320031512,6.300252857526731
"(-25, -20]",8,6.093,1.527,6.118,-21.741,0.001511754059791648,-0.0008450084320031512,6.300252857526731
"(-20, -15]",8,6.031,1.3,6.017,-17.735,0.001511754059791648,-0.0008450084320031512,6.300252857526731
"(-15, -10]",17,6.242,0.917,6.472,-11.835,0.001511754059791648,-0.0008450084320031512,6.300252857526731
"(-10, -5]",16,5.954,1.044,6.187,-7.033,0.001511754059791648,-0.0008450084320031512,6.300252857526731
"(-5, 0]",21,6.401,1.089,6.846,-2.36,0.001511754059791648,-0.0008450084320031512,6.300252857526731
"(0, 5]",31,5.914,0.822,6.161,2.286,0.001511754059791648,-0.0008450084320031512,6.300252857526731
"(5, 10]",15,6.054,0.748,6.144,7.614,0.001511754059791648,-0.0008450084320031512,6.300252857526731
"(10, 15]",15,6.302,0.635,6.42,11.643,0.001511754059791648,-0.0008450084320031512,6.300252857526731
"(15, 20]",11,6.186,0.932,5.955,17.653,0.001511754059791648,-0.0008450084320031512,6.300252857526731
"(20, 25]",6,6.393,0.296,6.436,22.564,0.001511754059791648,-0.0008450084320031512,6.300252857526731
"(25, 30]",3,6.781,0.213,6.663,26.715,0.001511754059791648,-0.0008450084320031512,6.300252857526731
"(30, 35]",0,,,,,0.001511754059791648,-0.0008450084320031512,6.300252857526731
