slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,1.0,0.13165266106442552,4.75052380952381
"(-30, -25]",0,,,,,1.0,0.13165266106442552,4.75052380952381
"(-25, -20]",0,,,,,1.0,0.13165266106442552,4.75052380952381
"(-20, -15]",0,,,,,1.0,0.13165266106442552,4.75052380952381
"(-15, -10]",0,,,,,1.0,0.13165266106442552,4.75052380952381
"(-10, -5]",0,,,,,1.0,0.13165266106442552,4.75052380952381
"(-5, 0]",7,4.614,2.797,5.991,-1.037,1.0,0.13165266106442552,4.75052380952381
"(0, 5]",7,4.802,1.581,5.396,0.391,1.0,0.13165266106442552,4.75052380952381
"(5, 10]",0,,,,,1.0,0.13165266106442552,4.75052380952381
"(10, 15]",0,,,,,1.0,0.13165266106442552,4.75052380952381
"(15, 20]",0,,,,,1.0,0.13165266106442552,4.75052380952381
"(20, 25]",0,,,,,1.0,0.13165266106442552,4.75052380952381
"(25, 30]",0,,,,,1.0,0.13165266106442552,4.75052380952381
"(30, 35]",0,,,,,1.0,0.13165266106442552,4.75052380952381
