,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,r2
,count,mean,std,median,mean,
slope_bin,,,,,,
"(-35, -30]",0,,,,,
"(-30, -25]",0,,,,,
"(-25, -20]",12,3.856,1.957,3.864,-21.142,0.0921125763171764
"(-20, -15]",36,3.815,2.1,3.824,-17.906,0.01267541362050495
"(-15, -10]",43,4.055,2.206,5.123,-12.278,0.1353666387141772
"(-10, -5]",38,4.645,1.202,5.046,-7.842,0.014556971786841011
"(-5, 0]",75,5.302,1.34,5.616,-2.081,0.26252309483776637
"(0, 5]",71,5.236,1.622,5.663,2.251,0.2104852568726746
"(5, 10]",41,4.967,1.401,5.11,7.622,0.006681820671923688
"(10, 15]",32,5.319,0.959,5.51,12.099,0.010968148781191678
"(15, 20]",31,5.703,1.428,5.788,17.737,0.03196788060344036
"(20, 25]",3,5.419,0.834,5.128,21.374,0.341364765325197
"(25, 30]",0,,,,,
"(30, 35]",0,,,,,
