slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,0.46232456440281533,-0.01851073912166237,5.1909649161575535
"(-30, -25]",1,4.936,,4.936,-25.392,0.46232456440281533,-0.01851073912166237,5.1909649161575535
"(-25, -20]",2,5.731,0.3,5.731,-22.943,0.46232456440281533,-0.01851073912166237,5.1909649161575535
"(-20, -15]",1,5.658,,5.658,-17.982,0.46232456440281533,-0.01851073912166237,5.1909649161575535
"(-15, -10]",7,5.171,1.837,5.951,-12.258,0.46232456440281533,-0.01851073912166237,5.1909649161575535
"(-10, -5]",16,4.947,1.329,5.539,-6.9,0.46232456440281533,-0.01851073912166237,5.1909649161575535
"(-5, 0]",24,5.45,1.255,5.748,-2.354,0.46232456440281533,-0.01851073912166237,5.1909649161575535
"(0, 5]",24,5.464,1.565,5.64,2.474,0.46232456440281533,-0.01851073912166237,5.1909649161575535
"(5, 10]",14,5.397,0.535,5.264,7.742,0.46232456440281533,-0.01851073912166237,5.1909649161575535
"(10, 15]",5,4.658,0.462,4.431,12.007,0.46232456440281533,-0.01851073912166237,5.1909649161575535
"(15, 20]",3,5.041,0.324,5.062,17.496,0.46232456440281533,-0.01851073912166237,5.1909649161575535
"(20, 25]",4,4.549,0.706,4.765,21.52,0.46232456440281533,-0.01851073912166237,5.1909649161575535
"(25, 30]",0,,,,,0.46232456440281533,-0.01851073912166237,5.1909649161575535
"(30, 35]",0,,,,,0.46232456440281533,-0.01851073912166237,5.1909649161575535
