slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,1.0,-0.2267839687194528,4.388895405669599
"(-30, -25]",0,,,,,1.0,-0.2267839687194528,4.388895405669599
"(-25, -20]",0,,,,,1.0,-0.2267839687194528,4.388895405669599
"(-20, -15]",0,,,,,1.0,-0.2267839687194528,4.388895405669599
"(-15, -10]",0,,,,,1.0,-0.2267839687194528,4.388895405669599
"(-10, -5]",0,,,,,1.0,-0.2267839687194528,4.388895405669599
"(-5, 0]",38,4.488,2.187,5.365,-0.437,1.0,-0.2267839687194528,4.388895405669599
"(0, 5]",25,4.256,2.305,5.264,0.586,1.0,-0.2267839687194528,4.388895405669599
"(5, 10]",1,5.649,,5.649,7.342,1.0,-0.2267839687194528,4.388895405669599
"(10, 15]",0,,,,,1.0,-0.2267839687194528,4.388895405669599
"(15, 20]",0,,,,,1.0,-0.2267839687194528,4.388895405669599
"(20, 25]",0,,,,,1.0,-0.2267839687194528,4.388895405669599
"(25, 30]",0,,,,,1.0,-0.2267839687194528,4.388895405669599
"(30, 35]",0,,,,,1.0,-0.2267839687194528,4.388895405669599
