,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,binned_r2,bin_regression_coef,bin_regression_intercept
,count,mean,std,median,mean,,,
slope_bin,,,,,,,,
"(-35, -30]",0,,,,,0.07009443062174936,0.0039271784762376595,5.868643430860682
"(-30, -25]",8,6.058,0.123,6.041,-26.457,0.07009443062174936,0.0039271784762376595,5.868643430860682
"(-25, -20]",14,5.553,1.166,5.807,-22.229,0.07009443062174936,0.0039271784762376595,5.868643430860682
"(-20, -15]",17,6.04,0.893,6.173,-18.048,0.07009443062174936,0.0039271784762376595,5.868643430860682
"(-15, -10]",39,5.624,0.611,5.694,-11.973,0.07009443062174936,0.0039271784762376595,5.868643430860682
"(-10, -5]",26,5.464,1.171,4.931,-7.364,0.07009443062174936,0.0039271784762376595,5.868643430860682
"(-5, 0]",50,6.14,1.248,6.512,-2.321,0.07009443062174936,0.0039271784762376595,5.868643430860682
"(0, 5]",57,5.937,0.954,6.29,2.297,0.07009443062174936,0.0039271784762376595,5.868643430860682
"(5, 10]",29,5.77,0.579,5.849,7.575,0.07009443062174936,0.0039271784762376595,5.868643430860682
"(10, 15]",37,5.618,0.675,5.637,12.109,0.07009443062174936,0.0039271784762376595,5.868643430860682
"(15, 20]",15,6.031,1.04,6.386,17.986,0.07009443062174936,0.0039271784762376595,5.868643430860682
"(20, 25]",13,6.306,0.231,6.293,22.056,0.07009443062174936,0.0039271784762376595,5.868643430860682
"(25, 30]",8,5.883,0.177,5.896,26.44,0.07009443062174936,0.0039271784762376595,5.868643430860682
"(30, 35]",0,,,,,0.07009443062174936,0.0039271784762376595,5.868643430860682
