slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,0.013357673471421139,0.01711953916101909,4.812111550645792
"(-30, -25]",0,,,,,0.013357673471421139,0.01711953916101909,4.812111550645792
"(-25, -20]",0,,,,,0.013357673471421139,0.01711953916101909,4.812111550645792
"(-20, -15]",1,5.745,,5.745,-15.773,0.013357673471421139,0.01711953916101909,4.812111550645792
"(-15, -10]",0,,,,,0.013357673471421139,0.01711953916101909,4.812111550645792
"(-10, -5]",3,3.85,1.863,4.249,-6.605,0.013357673471421139,0.01711953916101909,4.812111550645792
"(-5, 0]",7,5.655,1.792,6.403,-2.781,0.013357673471421139,0.01711953916101909,4.812111550645792
"(0, 5]",7,5.479,0.617,5.594,2.55,0.013357673471421139,0.01711953916101909,4.812111550645792
"(5, 10]",3,4.269,1.947,4.689,7.102,0.013357673471421139,0.01711953916101909,4.812111550645792
"(10, 15]",1,5.351,,5.351,14.477,0.013357673471421139,0.01711953916101909,4.812111550645792
"(15, 20]",0,,,,,0.013357673471421139,0.01711953916101909,4.812111550645792
"(20, 25]",0,,,,,0.013357673471421139,0.01711953916101909,4.812111550645792
"(25, 30]",0,,,,,0.013357673471421139,0.01711953916101909,4.812111550645792
"(30, 35]",0,,,,,0.013357673471421139,0.01711953916101909,4.812111550645792
