slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",1,4.521,,4.521,-32.615,0.458796489197714,-0.025829634875662682,5.246247296498269
"(-30, -25]",1,5.494,,5.494,-25.214,0.458796489197714,-0.025829634875662682,5.246247296498269
"(-25, -20]",5,5.627,0.342,5.544,-21.939,0.458796489197714,-0.025829634875662682,5.246247296498269
"(-20, -15]",2,6.585,0.333,6.585,-19.698,0.458796489197714,-0.025829634875662682,5.246247296498269
"(-15, -10]",12,4.881,1.521,5.629,-12.139,0.458796489197714,-0.025829634875662682,5.246247296498269
"(-10, -5]",32,4.98,1.423,5.419,-7.035,0.458796489197714,-0.025829634875662682,5.246247296498269
"(-5, 0]",46,5.301,1.589,5.893,-2.383,0.458796489197714,-0.025829634875662682,5.246247296498269
"(0, 5]",41,5.651,0.897,5.523,2.688,0.458796489197714,-0.025829634875662682,5.246247296498269
"(5, 10]",27,5.174,1.208,5.331,7.452,0.458796489197714,-0.025829634875662682,5.246247296498269
"(10, 15]",10,4.798,0.493,4.94,12.318,0.458796489197714,-0.025829634875662682,5.246247296498269
"(15, 20]",5,4.854,0.413,5.023,17.145,0.458796489197714,-0.025829634875662682,5.246247296498269
"(20, 25]",8,4.638,0.878,4.873,22.564,0.458796489197714,-0.025829634875662682,5.246247296498269
"(25, 30]",0,,,,,0.458796489197714,-0.025829634875662682,5.246247296498269
"(30, 35]",0,,,,,0.458796489197714,-0.025829634875662682,5.246247296498269
