,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,binned_r2,bin_regression_coef,bin_regression_intercept
,count,mean,std,median,mean,,,
slope_bin,,,,,,,,
"(-35, -30]",0,,,,,0.10867516434985347,0.009984644554105592,5.933755214003549
"(-30, -25]",2,6.011,0.146,6.011,-25.94,0.10867516434985347,0.009984644554105592,5.933755214003549
"(-25, -20]",3,5.113,1.88,6.15,-21.296,0.10867516434985347,0.009984644554105592,5.933755214003549
"(-20, -15]",4,6.351,0.821,6.286,-18.282,0.10867516434985347,0.009984644554105592,5.933755214003549
"(-15, -10]",9,5.566,0.567,5.609,-12.07,0.10867516434985347,0.009984644554105592,5.933755214003549
"(-10, -5]",8,5.553,1.208,5.477,-7.366,0.10867516434985347,0.009984644554105592,5.933755214003549
"(-5, 0]",8,6.45,1.177,6.794,-2.024,0.10867516434985347,0.009984644554105592,5.933755214003549
"(0, 5]",13,5.862,0.979,6.259,2.16,0.10867516434985347,0.009984644554105592,5.933755214003549
"(5, 10]",7,5.777,0.667,5.718,8.041,0.10867516434985347,0.009984644554105592,5.933755214003549
"(10, 15]",10,5.381,0.847,5.648,12.435,0.10867516434985347,0.009984644554105592,5.933755214003549
"(15, 20]",2,6.699,0.235,6.699,18.181,0.10867516434985347,0.009984644554105592,5.933755214003549
"(20, 25]",4,6.266,0.218,6.258,21.893,0.10867516434985347,0.009984644554105592,5.933755214003549
"(25, 30]",1,5.793,,5.793,26.849,0.10867516434985347,0.009984644554105592,5.933755214003549
"(30, 35]",0,,,,,0.10867516434985347,0.009984644554105592,5.933755214003549
