,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,binned_r2,bin_regression_coef,bin_regression_intercept
,count,mean,std,median,mean,,,
slope_bin,,,,,,,,
"(-35, -30]",0,,,,,0.03917592681207871,-0.005016202689153409,5.774123314982775
"(-30, -25]",4,6.743,0.233,6.718,-26.244,0.03917592681207871,-0.005016202689153409,5.774123314982775
"(-25, -20]",7,5.34,1.33,5.392,-21.886,0.03917592681207871,-0.005016202689153409,5.774123314982775
"(-20, -15]",8,5.881,0.577,5.746,-18.322,0.03917592681207871,-0.005016202689153409,5.774123314982775
"(-15, -10]",21,5.639,0.757,5.601,-12.317,0.03917592681207871,-0.005016202689153409,5.774123314982775
"(-10, -5]",15,5.581,0.478,5.744,-7.54,0.03917592681207871,-0.005016202689153409,5.774123314982775
"(-5, 0]",26,5.86,0.774,5.982,-2.213,0.03917592681207871,-0.005016202689153409,5.774123314982775
"(0, 5]",30,5.521,0.644,5.446,2.353,0.03917592681207871,-0.005016202689153409,5.774123314982775
"(5, 10]",18,5.529,0.555,5.31,7.73,0.03917592681207871,-0.005016202689153409,5.774123314982775
"(10, 15]",16,5.456,0.491,5.251,12.081,0.03917592681207871,-0.005016202689153409,5.774123314982775
"(15, 20]",8,6.352,0.713,6.284,17.514,0.03917592681207871,-0.005016202689153409,5.774123314982775
"(20, 25]",7,6.164,0.385,6.419,22.269,0.03917592681207871,-0.005016202689153409,5.774123314982775
"(25, 30]",5,5.222,1.286,5.733,26.87,0.03917592681207871,-0.005016202689153409,5.774123314982775
"(30, 35]",1,3.987,,3.987,34.127,0.03917592681207871,-0.005016202689153409,5.774123314982775
