slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,1.0,1.2582608695652175,4.20001652173913
"(-30, -25]",0,,,,,1.0,1.2582608695652175,4.20001652173913
"(-25, -20]",0,,,,,1.0,1.2582608695652175,4.20001652173913
"(-20, -15]",0,,,,,1.0,1.2582608695652175,4.20001652173913
"(-15, -10]",0,,,,,1.0,1.2582608695652175,4.20001652173913
"(-10, -5]",0,,,,,1.0,1.2582608695652175,4.20001652173913
"(-5, 0]",7,3.474,2.68,5.005,-0.577,1.0,1.2582608695652175,4.20001652173913
"(0, 5]",7,4.921,1.375,5.451,0.573,1.0,1.2582608695652175,4.20001652173913
"(5, 10]",0,,,,,1.0,1.2582608695652175,4.20001652173913
"(10, 15]",0,,,,,1.0,1.2582608695652175,4.20001652173913
"(15, 20]",0,,,,,1.0,1.2582608695652175,4.20001652173913
"(20, 25]",0,,,,,1.0,1.2582608695652175,4.20001652173913
"(25, 30]",0,,,,,1.0,1.2582608695652175,4.20001652173913
"(30, 35]",0,,,,,1.0,1.2582608695652175,4.20001652173913
