slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,0.451333835658147,-0.024657740567049637,5.154325317563526
"(-30, -25]",1,5.461,,5.461,-25.289,0.451333835658147,-0.024657740567049637,5.154325317563526
"(-25, -20]",5,6.119,1.117,6.646,-21.944,0.451333835658147,-0.024657740567049637,5.154325317563526
"(-20, -15]",3,5.527,1.643,5.707,-17.429,0.451333835658147,-0.024657740567049637,5.154325317563526
"(-15, -10]",12,5.12,2.097,6.089,-12.008,0.451333835658147,-0.024657740567049637,5.154325317563526
"(-10, -5]",31,4.655,1.857,5.197,-7.349,0.451333835658147,-0.024657740567049637,5.154325317563526
"(-5, 0]",43,5.255,1.867,6.074,-2.738,0.451333835658147,-0.024657740567049637,5.154325317563526
"(0, 5]",43,5.73,1.225,5.971,2.469,0.451333835658147,-0.024657740567049637,5.154325317563526
"(5, 10]",26,5.166,1.309,5.463,6.99,0.451333835658147,-0.024657740567049637,5.154325317563526
"(10, 15]",15,4.73,1.907,5.564,12.312,0.451333835658147,-0.024657740567049637,5.154325317563526
"(15, 20]",1,3.27,,3.27,15.301,0.451333835658147,-0.024657740567049637,5.154325317563526
"(20, 25]",9,4.523,1.299,4.383,22.012,0.451333835658147,-0.024657740567049637,5.154325317563526
"(25, 30]",1,4.183,,4.183,25.371,0.451333835658147,-0.024657740567049637,5.154325317563526
"(30, 35]",0,,,,,0.451333835658147,-0.024657740567049637,5.154325317563526
