slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,6.759419223156815e-05,-0.0007702815874681017,5.068726121270788
"(-30, -25]",0,,,,,6.759419223156815e-05,-0.0007702815874681017,5.068726121270788
"(-25, -20]",0,,,,,6.759419223156815e-05,-0.0007702815874681017,5.068726121270788
"(-20, -15]",0,,,,,6.759419223156815e-05,-0.0007702815874681017,5.068726121270788
"(-15, -10]",0,,,,,6.759419223156815e-05,-0.0007702815874681017,5.068726121270788
"(-10, -5]",6,5.517,0.467,5.57,-7.234,6.759419223156815e-05,-0.0007702815874681017,5.068726121270788
"(-5, 0]",400,4.607,1.969,5.341,-0.362,6.759419223156815e-05,-0.0007702815874681017,5.068726121270788
"(0, 5]",152,4.597,2.209,5.493,0.655,6.759419223156815e-05,-0.0007702815874681017,5.068726121270788
"(5, 10]",6,5.554,0.889,5.228,6.817,6.759419223156815e-05,-0.0007702815874681017,5.068726121270788
"(10, 15]",0,,,,,6.759419223156815e-05,-0.0007702815874681017,5.068726121270788
"(15, 20]",0,,,,,6.759419223156815e-05,-0.0007702815874681017,5.068726121270788
"(20, 25]",0,,,,,6.759419223156815e-05,-0.0007702815874681017,5.068726121270788
"(25, 30]",0,,,,,6.759419223156815e-05,-0.0007702815874681017,5.068726121270788
"(30, 35]",0,,,,,6.759419223156815e-05,-0.0007702815874681017,5.068726121270788
