slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",4,4.456,0.276,4.41,-32.498,0.01323637302083791,-0.0029916211136139766,5.164652578544965
"(-30, -25]",3,5.508,0.03,5.495,-25.925,0.01323637302083791,-0.0029916211136139766,5.164652578544965
"(-25, -20]",31,5.834,0.459,5.576,-22.152,0.01323637302083791,-0.0029916211136139766,5.164652578544965
"(-20, -15]",11,5.645,1.315,5.85,-17.53,0.01323637302083791,-0.0029916211136139766,5.164652578544965
"(-15, -10]",57,4.866,1.412,5.438,-11.778,0.01323637302083791,-0.0029916211136139766,5.164652578544965
"(-10, -5]",136,5.001,1.402,5.405,-7.146,0.01323637302083791,-0.0029916211136139766,5.164652578544965
"(-5, 0]",221,5.162,1.646,5.607,-2.541,0.01323637302083791,-0.0029916211136139766,5.164652578544965
"(0, 5]",201,5.663,1.018,5.734,2.548,0.01323637302083791,-0.0029916211136139766,5.164652578544965
"(5, 10]",118,5.216,0.775,5.259,7.151,0.01323637302083791,-0.0029916211136139766,5.164652578544965
"(10, 15]",54,5.018,0.729,5.031,12.217,0.01323637302083791,-0.0029916211136139766,5.164652578544965
"(15, 20]",20,4.475,0.977,4.746,17.726,0.01323637302083791,-0.0029916211136139766,5.164652578544965
"(20, 25]",43,4.58,0.881,4.805,22.269,0.01323637302083791,-0.0029916211136139766,5.164652578544965
"(25, 30]",2,5.812,0.246,5.812,25.731,0.01323637302083791,-0.0029916211136139766,5.164652578544965
"(30, 35]",0,,,,,0.01323637302083791,-0.0029916211136139766,5.164652578544965
