,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,binned_r2,bin_regression_coef,bin_regression_intercept
,count,mean,std,median,mean,,,
slope_bin,,,,,,,,
"(-35, -30]",0,,,,,0.0718606781408967,0.007524259420657748,5.81238256106605
"(-30, -25]",0,,,,,0.0718606781408967,0.007524259420657748,5.81238256106605
"(-25, -20]",0,,,,,0.0718606781408967,0.007524259420657748,5.81238256106605
"(-20, -15]",2,5.988,0.959,5.988,-19.33,0.0718606781408967,0.007524259420657748,5.81238256106605
"(-15, -10]",3,5.524,0.471,5.533,-11.234,0.0718606781408967,0.007524259420657748,5.81238256106605
"(-10, -5]",1,4.847,,4.847,-9.267,0.0718606781408967,0.007524259420657748,5.81238256106605
"(-5, 0]",3,5.858,0.81,6.083,-2.652,0.0718606781408967,0.007524259420657748,5.81238256106605
"(0, 5]",3,5.539,0.309,5.415,1.973,0.0718606781408967,0.007524259420657748,5.81238256106605
"(5, 10]",1,6.295,,6.295,6.865,0.0718606781408967,0.007524259420657748,5.81238256106605
"(10, 15]",3,5.468,0.509,5.234,11.53,0.0718606781408967,0.007524259420657748,5.81238256106605
"(15, 20]",2,6.484,1.318,6.484,17.946,0.0718606781408967,0.007524259420657748,5.81238256106605
"(20, 25]",1,6.436,,6.436,20.504,0.0718606781408967,0.007524259420657748,5.81238256106605
"(25, 30]",0,,,,,0.0718606781408967,0.007524259420657748,5.81238256106605
"(30, 35]",1,3.457,,3.457,31.317,0.0718606781408967,0.007524259420657748,5.81238256106605
