,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,binned_r2,bin_regression_coef,bin_regression_intercept
,count,mean,std,median,mean,,,
slope_bin,,,,,,,,
"(-35, -30]",0,,,,,0.25644239394568913,0.025014023892005327,5.5738201222108605
"(-30, -25]",0,,,,,0.25644239394568913,0.025014023892005327,5.5738201222108605
"(-25, -20]",0,,,,,0.25644239394568913,0.025014023892005327,5.5738201222108605
"(-20, -15]",1,6.325,,6.325,-15.995,0.25644239394568913,0.025014023892005327,5.5738201222108605
"(-15, -10]",0,,,,,0.25644239394568913,0.025014023892005327,5.5738201222108605
"(-10, -5]",3,5.422,0.513,5.586,-9.005,0.25644239394568913,0.025014023892005327,5.5738201222108605
"(-5, 0]",3,5.646,0.768,5.24,-0.95,0.25644239394568913,0.025014023892005327,5.5738201222108605
"(0, 5]",0,,,,,0.25644239394568913,0.025014023892005327,5.5738201222108605
"(5, 10]",1,6.295,,6.295,6.865,0.25644239394568913,0.025014023892005327,5.5738201222108605
"(10, 15]",2,5.176,0.082,5.176,11.954,0.25644239394568913,0.025014023892005327,5.5738201222108605
"(15, 20]",2,6.532,1.249,6.532,17.219,0.25644239394568913,0.025014023892005327,5.5738201222108605
"(20, 25]",1,5.602,,5.602,23.532,0.25644239394568913,0.025014023892005327,5.5738201222108605
"(25, 30]",0,,,,,0.25644239394568913,0.025014023892005327,5.5738201222108605
"(30, 35]",0,,,,,0.25644239394568913,0.025014023892005327,5.5738201222108605
