slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,1.0,0.17161290322580644,4.602171612903226
"(-30, -25]",0,,,,,1.0,0.17161290322580644,4.602171612903226
"(-25, -20]",0,,,,,1.0,0.17161290322580644,4.602171612903226
"(-20, -15]",0,,,,,1.0,0.17161290322580644,4.602171612903226
"(-15, -10]",0,,,,,1.0,0.17161290322580644,4.602171612903226
"(-10, -5]",0,,,,,1.0,0.17161290322580644,4.602171612903226
"(-5, 0]",15,4.469,2.2,5.456,-0.776,1.0,0.17161290322580644,4.602171612903226
"(0, 5]",9,4.735,1.709,5.451,0.774,1.0,0.17161290322580644,4.602171612903226
"(5, 10]",0,,,,,1.0,0.17161290322580644,4.602171612903226
"(10, 15]",0,,,,,1.0,0.17161290322580644,4.602171612903226
"(15, 20]",0,,,,,1.0,0.17161290322580644,4.602171612903226
"(20, 25]",0,,,,,1.0,0.17161290322580644,4.602171612903226
"(25, 30]",0,,,,,1.0,0.17161290322580644,4.602171612903226
"(30, 35]",0,,,,,1.0,0.17161290322580644,4.602171612903226
