,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,binned_r2,bin_regression_coef,bin_regression_intercept
,count,mean,std,median,mean,,,
slope_bin,,,,,,,,
"(-35, -30]",0,,,,,0.00228331874884824,0.0020693073221364237,5.4802711666864345
"(-30, -25]",0,,,,,0.00228331874884824,0.0020693073221364237,5.4802711666864345
"(-25, -20]",0,,,,,0.00228331874884824,0.0020693073221364237,5.4802711666864345
"(-20, -15]",2,5.996,0.132,5.996,-17.868,0.00228331874884824,0.0020693073221364237,5.4802711666864345
"(-15, -10]",3,4.47,1.22,4.986,-12.559,0.00228331874884824,0.0020693073221364237,5.4802711666864345
"(-10, -5]",1,5.564,,5.564,-6.202,0.00228331874884824,0.0020693073221364237,5.4802711666864345
"(-5, 0]",4,5.875,0.455,6.006,-2.508,0.00228331874884824,0.0020693073221364237,5.4802711666864345
"(0, 5]",4,5.79,0.689,5.625,2.26,0.00228331874884824,0.0020693073221364237,5.4802711666864345
"(5, 10]",1,5.261,,5.261,7.155,0.00228331874884824,0.0020693073221364237,5.4802711666864345
"(10, 15]",2,5.021,1.324,5.021,12.343,0.00228331874884824,0.0020693073221364237,5.4802711666864345
"(15, 20]",2,5.729,0.312,5.729,18.029,0.00228331874884824,0.0020693073221364237,5.4802711666864345
"(20, 25]",0,,,,,0.00228331874884824,0.0020693073221364237,5.4802711666864345
"(25, 30]",0,,,,,0.00228331874884824,0.0020693073221364237,5.4802711666864345
"(30, 35]",0,,,,,0.00228331874884824,0.0020693073221364237,5.4802711666864345
