slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,0.296203848385023,-0.03378278223945032,5.34253608032494
"(-30, -25]",0,,,,,0.296203848385023,-0.03378278223945032,5.34253608032494
"(-25, -20]",0,,,,,0.296203848385023,-0.03378278223945032,5.34253608032494
"(-20, -15]",1,5.658,,5.658,-17.982,0.296203848385023,-0.03378278223945032,5.34253608032494
"(-15, -10]",2,6.103,0.263,6.103,-11.775,0.296203848385023,-0.03378278223945032,5.34253608032494
"(-10, -5]",6,5.029,1.415,5.545,-6.875,0.296203848385023,-0.03378278223945032,5.34253608032494
"(-5, 0]",11,5.335,1.456,5.685,-2.782,0.296203848385023,-0.03378278223945032,5.34253608032494
"(0, 5]",9,5.654,0.857,5.315,2.717,0.296203848385023,-0.03378278223945032,5.34253608032494
"(5, 10]",6,4.979,0.8,5.241,7.25,0.296203848385023,-0.03378278223945032,5.34253608032494
"(10, 15]",0,,,,,0.296203848385023,-0.03378278223945032,5.34253608032494
"(15, 20]",1,4.99,,4.99,19.835,0.296203848385023,-0.03378278223945032,5.34253608032494
"(20, 25]",1,4.639,,4.639,20.133,0.296203848385023,-0.03378278223945032,5.34253608032494
"(25, 30]",0,,,,,0.296203848385023,-0.03378278223945032,5.34253608032494
"(30, 35]",0,,,,,0.296203848385023,-0.03378278223945032,5.34253608032494
