,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,binned_r2,bin_regression_coef,bin_regression_intercept
,count,mean,std,median,mean,,,
slope_bin,,,,,,,,
"(-35, -30]",0,,,,,0.000898180656832448,0.0005430441949072398,5.692496635846305
"(-30, -25]",1,6.154,,6.154,-26.661,0.000898180656832448,0.0005430441949072398,5.692496635846305
"(-25, -20]",4,5.956,0.361,5.894,-21.946,0.000898180656832448,0.0005430441949072398,5.692496635846305
"(-20, -15]",4,5.848,0.291,5.85,-18.759,0.000898180656832448,0.0005430441949072398,5.692496635846305
"(-15, -10]",12,5.104,0.878,5.07,-11.864,0.000898180656832448,0.0005430441949072398,5.692496635846305
"(-10, -5]",6,5.443,0.817,5.414,-7.39,0.000898180656832448,0.0005430441949072398,5.692496635846305
"(-5, 0]",10,5.896,0.8,6.028,-1.721,0.000898180656832448,0.0005430441949072398,5.692496635846305
"(0, 5]",12,6.004,0.604,6.043,1.663,0.000898180656832448,0.0005430441949072398,5.692496635846305
"(5, 10]",11,5.574,0.653,5.88,7.355,0.000898180656832448,0.0005430441949072398,5.692496635846305
"(10, 15]",7,5.75,0.887,5.957,12.152,0.000898180656832448,0.0005430441949072398,5.692496635846305
"(15, 20]",5,5.642,0.344,5.693,18.426,0.000898180656832448,0.0005430441949072398,5.692496635846305
"(20, 25]",2,5.387,0.704,5.387,21.021,0.000898180656832448,0.0005430441949072398,5.692496635846305
"(25, 30]",2,6.027,0.044,6.027,25.991,0.000898180656832448,0.0005430441949072398,5.692496635846305
"(30, 35]",0,,,,,0.000898180656832448,0.0005430441949072398,5.692496635846305
