slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,0.8140305485644145,-0.35700015845860156,3.730258686304789
"(-30, -25]",0,,,,,0.8140305485644145,-0.35700015845860156,3.730258686304789
"(-25, -20]",0,,,,,0.8140305485644145,-0.35700015845860156,3.730258686304789
"(-20, -15]",0,,,,,0.8140305485644145,-0.35700015845860156,3.730258686304789
"(-15, -10]",0,,,,,0.8140305485644145,-0.35700015845860156,3.730258686304789
"(-10, -5]",2,6.144,0.83,6.144,-6.342,0.8140305485644145,-0.35700015845860156,3.730258686304789
"(-5, 0]",116,3.21,2.757,3.521,-0.558,0.8140305485644145,-0.35700015845860156,3.730258686304789
"(0, 5]",41,3.957,2.491,4.222,0.961,0.8140305485644145,-0.35700015845860156,3.730258686304789
"(5, 10]",1,5.46,,5.46,8.271,0.8140305485644145,-0.35700015845860156,3.730258686304789
"(10, 15]",0,,,,,0.8140305485644145,-0.35700015845860156,3.730258686304789
"(15, 20]",0,,,,,0.8140305485644145,-0.35700015845860156,3.730258686304789
"(20, 25]",0,,,,,0.8140305485644145,-0.35700015845860156,3.730258686304789
"(25, 30]",0,,,,,0.8140305485644145,-0.35700015845860156,3.730258686304789
"(30, 35]",0,,,,,0.8140305485644145,-0.35700015845860156,3.730258686304789
