slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,0.12991283650445584,-0.08190719528951249,5.220894891627088
"(-30, -25]",0,,,,,0.12991283650445584,-0.08190719528951249,5.220894891627088
"(-25, -20]",0,,,,,0.12991283650445584,-0.08190719528951249,5.220894891627088
"(-20, -15]",0,,,,,0.12991283650445584,-0.08190719528951249,5.220894891627088
"(-15, -10]",0,,,,,0.12991283650445584,-0.08190719528951249,5.220894891627088
"(-10, -5]",5,6.785,0.438,6.884,-6.722,0.12991283650445584,-0.08190719528951249,5.220894891627088
"(-5, 0]",409,4.604,2.025,5.411,-0.286,0.12991283650445584,-0.08190719528951249,5.220894891627088
"(0, 5]",176,3.764,2.495,4.757,0.662,0.12991283650445584,-0.08190719528951249,5.220894891627088
"(5, 10]",4,5.649,0.09,5.667,7.342,0.12991283650445584,-0.08190719528951249,5.220894891627088
"(10, 15]",0,,,,,0.12991283650445584,-0.08190719528951249,5.220894891627088
"(15, 20]",0,,,,,0.12991283650445584,-0.08190719528951249,5.220894891627088
"(20, 25]",0,,,,,0.12991283650445584,-0.08190719528951249,5.220894891627088
"(25, 30]",0,,,,,0.12991283650445584,-0.08190719528951249,5.220894891627088
"(30, 35]",0,,,,,0.12991283650445584,-0.08190719528951249,5.220894891627088
