slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,0.004809721835078218,0.005632420059921506,5.239064743736433
"(-30, -25]",0,,,,,0.004809721835078218,0.005632420059921506,5.239064743736433
"(-25, -20]",0,,,,,0.004809721835078218,0.005632420059921506,5.239064743736433
"(-20, -15]",0,,,,,0.004809721835078218,0.005632420059921506,5.239064743736433
"(-15, -10]",1,7.034,,7.034,-11.644,0.004809721835078218,0.005632420059921506,5.239064743736433
"(-10, -5]",3,5.58,0.55,5.602,-6.357,0.004809721835078218,0.005632420059921506,5.239064743736433
"(-5, 0]",9,4.563,1.616,4.179,-1.961,0.004809721835078218,0.005632420059921506,5.239064743736433
"(0, 5]",4,5.53,1.305,5.858,3.599,0.004809721835078218,0.005632420059921506,5.239064743736433
"(5, 10]",2,5.294,0.004,5.294,6.626,0.004809721835078218,0.005632420059921506,5.239064743736433
"(10, 15]",0,,,,,0.004809721835078218,0.005632420059921506,5.239064743736433
"(15, 20]",1,4.815,,4.815,15.189,0.004809721835078218,0.005632420059921506,5.239064743736433
"(20, 25]",1,5.99,,5.99,20.112,0.004809721835078218,0.005632420059921506,5.239064743736433
"(25, 30]",0,,,,,0.004809721835078218,0.005632420059921506,5.239064743736433
"(30, 35]",0,,,,,0.004809721835078218,0.005632420059921506,5.239064743736433
