slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,1.0,0.24841341795104266,4.6108241160471435
"(-30, -25]",0,,,,,1.0,0.24841341795104266,4.6108241160471435
"(-25, -20]",0,,,,,1.0,0.24841341795104266,4.6108241160471435
"(-20, -15]",0,,,,,1.0,0.24841341795104266,4.6108241160471435
"(-15, -10]",0,,,,,1.0,0.24841341795104266,4.6108241160471435
"(-10, -5]",1,5.244,,5.244,-8.611,1.0,0.24841341795104266,4.6108241160471435
"(-5, 0]",76,4.505,2.062,5.275,-0.426,1.0,0.24841341795104266,4.6108241160471435
"(0, 5]",38,4.779,2.031,5.444,0.677,1.0,0.24841341795104266,4.6108241160471435
"(5, 10]",1,5.191,,5.191,7.559,1.0,0.24841341795104266,4.6108241160471435
"(10, 15]",0,,,,,1.0,0.24841341795104266,4.6108241160471435
"(15, 20]",0,,,,,1.0,0.24841341795104266,4.6108241160471435
"(20, 25]",0,,,,,1.0,0.24841341795104266,4.6108241160471435
"(25, 30]",0,,,,,1.0,0.24841341795104266,4.6108241160471435
"(30, 35]",0,,,,,1.0,0.24841341795104266,4.6108241160471435
