slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,0.24516201612584154,0.058567341798808265,4.780418731728123
"(-30, -25]",0,,,,,0.24516201612584154,0.058567341798808265,4.780418731728123
"(-25, -20]",0,,,,,0.24516201612584154,0.058567341798808265,4.780418731728123
"(-20, -15]",4,2.97,3.014,2.969,-17.985,0.24516201612584154,0.058567341798808265,4.780418731728123
"(-15, -10]",2,5.843,0.557,5.843,-10.203,0.24516201612584154,0.058567341798808265,4.780418731728123
"(-10, -5]",7,3.614,2.419,4.576,-6.744,0.24516201612584154,0.058567341798808265,4.780418731728123
"(-5, 0]",10,4.497,1.946,5.073,-2.917,0.24516201612584154,0.058567341798808265,4.780418731728123
"(0, 5]",12,5.356,0.757,5.436,2.48,0.24516201612584154,0.058567341798808265,4.780418731728123
"(5, 10]",6,4.758,1.047,4.909,7.29,0.24516201612584154,0.058567341798808265,4.780418731728123
"(10, 15]",1,5.828,,5.828,13.429,0.24516201612584154,0.058567341798808265,4.780418731728123
"(15, 20]",1,5.341,,5.341,18.243,0.24516201612584154,0.058567341798808265,4.780418731728123
"(20, 25]",1,5.049,,5.049,20.1,0.24516201612584154,0.058567341798808265,4.780418731728123
"(25, 30]",0,,,,,0.24516201612584154,0.058567341798808265,4.780418731728123
"(30, 35]",0,,,,,0.24516201612584154,0.058567341798808265,4.780418731728123
