slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,0.5301306675388702,-0.026218613627336324,5.080211257181947
"(-30, -25]",2,5.566,0.35,5.566,-25.552,0.5301306675388702,-0.026218613627336324,5.080211257181947
"(-25, -20]",15,6.121,1.019,6.437,-22.099,0.5301306675388702,-0.026218613627336324,5.080211257181947
"(-20, -15]",8,5.882,1.234,6.121,-16.572,0.5301306675388702,-0.026218613627336324,5.080211257181947
"(-15, -10]",30,4.442,2.293,5.551,-11.372,0.5301306675388702,-0.026218613627336324,5.080211257181947
"(-10, -5]",73,4.842,1.803,5.268,-7.239,0.5301306675388702,-0.026218613627336324,5.080211257181947
"(-5, 0]",104,5.275,1.758,5.933,-2.656,0.5301306675388702,-0.026218613627336324,5.080211257181947
"(0, 5]",106,5.614,1.39,6.04,2.657,0.5301306675388702,-0.026218613627336324,5.080211257181947
"(5, 10]",65,5.24,1.259,5.531,7.23,0.5301306675388702,-0.026218613627336324,5.080211257181947
"(10, 15]",25,4.536,2.043,5.393,12.641,0.5301306675388702,-0.026218613627336324,5.080211257181947
"(15, 20]",11,4.574,1.9,5.053,17.369,0.5301306675388702,-0.026218613627336324,5.080211257181947
"(20, 25]",21,4.487,1.227,4.339,22.227,0.5301306675388702,-0.026218613627336324,5.080211257181947
"(25, 30]",2,4.322,0.197,4.322,25.713,0.5301306675388702,-0.026218613627336324,5.080211257181947
"(30, 35]",0,,,,,0.5301306675388702,-0.026218613627336324,5.080211257181947
