,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,binned_r2,bin_regression_coef,bin_regression_intercept
,count,mean,std,median,mean,,,
slope_bin,,,,,,,,
"(-35, -30]",0,,,,,0.00028736314065180846,-0.0004671687090308393,5.687671885628233
"(-30, -25]",0,,,,,0.00028736314065180846,-0.0004671687090308393,5.687671885628233
"(-25, -20]",3,5.882,0.251,5.968,-21.559,0.00028736314065180846,-0.0004671687090308393,5.687671885628233
"(-20, -15]",2,6.215,0.262,6.215,-18.55,0.00028736314065180846,-0.0004671687090308393,5.687671885628233
"(-15, -10]",6,5.008,1.109,5.351,-12.449,0.00028736314065180846,-0.0004671687090308393,5.687671885628233
"(-10, -5]",3,5.315,0.901,5.017,-6.068,0.00028736314065180846,-0.0004671687090308393,5.687671885628233
"(-5, 0]",8,5.64,0.638,5.77,-2.632,0.00028736314065180846,-0.0004671687090308393,5.687671885628233
"(0, 5]",7,6.069,0.683,6.173,2.607,0.00028736314065180846,-0.0004671687090308393,5.687671885628233
"(5, 10]",2,5.628,0.357,5.628,7.853,0.00028736314065180846,-0.0004671687090308393,5.687671885628233
"(10, 15]",6,5.561,0.805,5.647,11.929,0.00028736314065180846,-0.0004671687090308393,5.687671885628233
"(15, 20]",3,5.881,0.182,5.893,17.564,0.00028736314065180846,-0.0004671687090308393,5.687671885628233
"(20, 25]",1,5.387,,5.387,21.021,0.00028736314065180846,-0.0004671687090308393,5.687671885628233
"(25, 30]",1,6.027,,6.027,25.991,0.00028736314065180846,-0.0004671687090308393,5.687671885628233
"(30, 35]",0,,,,,0.00028736314065180846,-0.0004671687090308393,5.687671885628233
