slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,1.0,0.7479586281981488,3.9767544910179637
"(-30, -25]",0,,,,,1.0,0.7479586281981488,3.9767544910179637
"(-25, -20]",0,,,,,1.0,0.7479586281981488,3.9767544910179637
"(-20, -15]",0,,,,,1.0,0.7479586281981488,3.9767544910179637
"(-15, -10]",0,,,,,1.0,0.7479586281981488,3.9767544910179637
"(-10, -5]",1,5.851,,5.851,-8.353,1.0,0.7479586281981488,3.9767544910179637
"(-5, 0]",60,3.154,2.758,3.945,-1.1,1.0,0.7479586281981488,3.9767544910179637
"(0, 5]",21,4.528,2.097,5.259,0.737,1.0,0.7479586281981488,3.9767544910179637
"(5, 10]",1,5.495,,5.495,7.938,1.0,0.7479586281981488,3.9767544910179637
"(10, 15]",0,,,,,1.0,0.7479586281981488,3.9767544910179637
"(15, 20]",0,,,,,1.0,0.7479586281981488,3.9767544910179637
"(20, 25]",0,,,,,1.0,0.7479586281981488,3.9767544910179637
"(25, 30]",0,,,,,1.0,0.7479586281981488,3.9767544910179637
"(30, 35]",0,,,,,1.0,0.7479586281981488,3.9767544910179637
