,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,binned_r2,bin_regression_coef,bin_regression_intercept
,count,mean,std,median,mean,,,
slope_bin,,,,,,,,
"(-35, -30]",0,,,,,0.20494637131922966,0.019269594944555372,5.550331872863895
"(-30, -25]",1,6.696,,6.696,-25.887,0.20494637131922966,0.019269594944555372,5.550331872863895
"(-25, -20]",2,4.037,1.947,4.037,-20.975,0.20494637131922966,0.019269594944555372,5.550331872863895
"(-20, -15]",2,5.72,0.579,5.72,-18.788,0.20494637131922966,0.019269594944555372,5.550331872863895
"(-15, -10]",8,5.891,0.657,5.965,-12.106,0.20494637131922966,0.019269594944555372,5.550331872863895
"(-10, -5]",4,5.405,0.295,5.389,-6.691,0.20494637131922966,0.019269594944555372,5.550331872863895
"(-5, 0]",3,6.059,0.989,6.243,-2.426,0.20494637131922966,0.019269594944555372,5.550331872863895
"(0, 5]",10,5.633,0.641,5.807,1.844,0.20494637131922966,0.019269594944555372,5.550331872863895
"(5, 10]",3,5.221,0.186,5.138,8.448,0.20494637131922966,0.019269594944555372,5.550331872863895
"(10, 15]",4,5.685,0.59,5.652,12.071,0.20494637131922966,0.019269594944555372,5.550331872863895
"(15, 20]",1,7.416,,7.416,17.739,0.20494637131922966,0.019269594944555372,5.550331872863895
"(20, 25]",3,5.984,0.392,5.774,22.121,0.20494637131922966,0.019269594944555372,5.550331872863895
"(25, 30]",1,2.927,,2.927,28.508,0.20494637131922966,0.019269594944555372,5.550331872863895
"(30, 35]",1,3.987,,3.987,34.127,0.20494637131922966,0.019269594944555372,5.550331872863895
