slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,0.07886439347119767,-0.020967699212626523,4.999019348686619
"(-30, -25]",0,,,,,0.07886439347119767,-0.020967699212626523,4.999019348686619
"(-25, -20]",0,,,,,0.07886439347119767,-0.020967699212626523,4.999019348686619
"(-20, -15]",0,,,,,0.07886439347119767,-0.020967699212626523,4.999019348686619
"(-15, -10]",0,,,,,0.07886439347119767,-0.020967699212626523,4.999019348686619
"(-10, -5]",4,5.522,0.571,5.506,-7.16,0.07886439347119767,-0.020967699212626523,4.999019348686619
"(-5, 0]",198,4.607,1.976,5.382,-0.37,0.07886439347119767,-0.020967699212626523,4.999019348686619
"(0, 5]",80,4.644,2.18,5.529,0.653,0.07886439347119767,-0.020967699212626523,4.999019348686619
"(5, 10]",3,5.211,0.1,5.227,7.453,0.07886439347119767,-0.020967699212626523,4.999019348686619
"(10, 15]",0,,,,,0.07886439347119767,-0.020967699212626523,4.999019348686619
"(15, 20]",0,,,,,0.07886439347119767,-0.020967699212626523,4.999019348686619
"(20, 25]",0,,,,,0.07886439347119767,-0.020967699212626523,4.999019348686619
"(25, 30]",0,,,,,0.07886439347119767,-0.020967699212626523,4.999019348686619
"(30, 35]",0,,,,,0.07886439347119767,-0.020967699212626523,4.999019348686619
