,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,binned_r2,bin_regression_coef,bin_regression_intercept
,count,mean,std,median,mean,,,
slope_bin,,,,,,,,
"(-35, -30]",0,,,,,0.1446667487519716,0.01722100336838302,5.780763565597528
"(-30, -25]",1,6.011,,6.011,-25.94,0.1446667487519716,0.01722100336838302,5.780763565597528
"(-25, -20]",2,4.387,2.043,4.387,-21.067,0.1446667487519716,0.01722100336838302,5.780763565597528
"(-20, -15]",2,6.533,0.264,6.533,-17.428,0.1446667487519716,0.01722100336838302,5.780763565597528
"(-15, -10]",6,5.864,0.75,5.764,-12.07,0.1446667487519716,0.01722100336838302,5.780763565597528
"(-10, -5]",4,5.155,0.857,4.869,-8.164,0.1446667487519716,0.01722100336838302,5.780763565597528
"(-5, 0]",7,6.159,1.181,6.544,-1.801,0.1446667487519716,0.01722100336838302,5.780763565597528
"(0, 5]",6,6.136,0.907,6.452,2.431,0.1446667487519716,0.01722100336838302,5.780763565597528
"(5, 10]",3,5.768,0.473,5.661,8.579,0.1446667487519716,0.01722100336838302,5.780763565597528
"(10, 15]",5,5.205,0.87,5.642,12.219,0.1446667487519716,0.01722100336838302,5.780763565597528
"(15, 20]",3,6.478,0.417,6.533,17.886,0.1446667487519716,0.01722100336838302,5.780763565597528
"(20, 25]",2,6.179,0.375,6.179,22.688,0.1446667487519716,0.01722100336838302,5.780763565597528
"(25, 30]",0,,,,,0.1446667487519716,0.01722100336838302,5.780763565597528
"(30, 35]",0,,,,,0.1446667487519716,0.01722100336838302,5.780763565597528
