,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,binned_r2,bin_regression_coef,bin_regression_intercept
,count,mean,std,median,mean,,,
slope_bin,,,,,,,,
"(-35, -30]",0,,,,,0.005500717197929772,0.0019612854207639425,6.087465043869923
"(-30, -25]",1,7.329,,7.329,-25.558,0.005500717197929772,0.0019612854207639425,6.087465043869923
"(-25, -20]",0,,,,,0.005500717197929772,0.0019612854207639425,6.087465043869923
"(-20, -15]",3,6.319,0.646,6.094,-18.665,0.005500717197929772,0.0019612854207639425,6.087465043869923
"(-15, -10]",6,6.171,1.257,6.429,-12.039,0.005500717197929772,0.0019612854207639425,6.087465043869923
"(-10, -5]",2,5.862,0.774,5.862,-6.489,0.005500717197929772,0.0019612854207639425,6.087465043869923
"(-5, 0]",5,5.896,1.346,6.344,-2.49,0.005500717197929772,0.0019612854207639425,6.087465043869923
"(0, 5]",7,6.312,0.429,6.288,2.589,0.005500717197929772,0.0019612854207639425,6.087465043869923
"(5, 10]",2,5.283,0.707,5.283,7.955,0.005500717197929772,0.0019612854207639425,6.087465043869923
"(10, 15]",6,6.337,0.981,6.602,11.615,0.005500717197929772,0.0019612854207639425,6.087465043869923
"(15, 20]",2,6.31,0.497,6.31,17.311,0.005500717197929772,0.0019612854207639425,6.087465043869923
"(20, 25]",2,6.339,0.483,6.339,21.533,0.005500717197929772,0.0019612854207639425,6.087465043869923
"(25, 30]",0,,,,,0.005500717197929772,0.0019612854207639425,6.087465043869923
"(30, 35]",0,,,,,0.005500717197929772,0.0019612854207639425,6.087465043869923
