slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,1.0,0.7598140495867766,4.107331095041322
"(-30, -25]",0,,,,,1.0,0.7598140495867766,4.107331095041322
"(-25, -20]",0,,,,,1.0,0.7598140495867766,4.107331095041322
"(-20, -15]",0,,,,,1.0,0.7598140495867766,4.107331095041322
"(-15, -10]",0,,,,,1.0,0.7598140495867766,4.107331095041322
"(-10, -5]",0,,,,,1.0,0.7598140495867766,4.107331095041322
"(-5, 0]",12,3.172,2.725,3.299,-1.231,1.0,0.7598140495867766,4.107331095041322
"(0, 5]",6,4.643,1.618,5.178,0.705,1.0,0.7598140495867766,4.107331095041322
"(5, 10]",0,,,,,1.0,0.7598140495867766,4.107331095041322
"(10, 15]",0,,,,,1.0,0.7598140495867766,4.107331095041322
"(15, 20]",0,,,,,1.0,0.7598140495867766,4.107331095041322
"(20, 25]",0,,,,,1.0,0.7598140495867766,4.107331095041322
"(25, 30]",0,,,,,1.0,0.7598140495867766,4.107331095041322
"(30, 35]",0,,,,,1.0,0.7598140495867766,4.107331095041322
