,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,binned_r2,bin_regression_coef,bin_regression_intercept
,count,mean,std,median,mean,,,
slope_bin,,,,,,,,
"(-35, -30]",0,,,,,1.0,-0.00994160177975533,5.468265294771969
"(-30, -25]",0,,,,,1.0,-0.00994160177975533,5.468265294771969
"(-25, -20]",0,,,,,1.0,-0.00994160177975533,5.468265294771969
"(-20, -15]",1,5.822,,5.822,-15.786,1.0,-0.00994160177975533,5.468265294771969
"(-15, -10]",1,5.894,,5.894,-13.406,1.0,-0.00994160177975533,5.468265294771969
"(-10, -5]",1,5.564,,5.564,-6.202,1.0,-0.00994160177975533,5.468265294771969
"(-5, 0]",5,5.493,0.76,5.44,-2.488,1.0,-0.00994160177975533,5.468265294771969
"(0, 5]",0,,,,,1.0,-0.00994160177975533,5.468265294771969
"(5, 10]",1,5.261,,5.261,7.155,1.0,-0.00994160177975533,5.468265294771969
"(10, 15]",3,5.35,1.096,5.957,11.896,1.0,-0.00994160177975533,5.468265294771969
"(15, 20]",1,5.95,,5.95,19.341,1.0,-0.00994160177975533,5.468265294771969
"(20, 25]",0,,,,,1.0,-0.00994160177975533,5.468265294771969
"(25, 30]",0,,,,,1.0,-0.00994160177975533,5.468265294771969
"(30, 35]",0,,,,,1.0,-0.00994160177975533,5.468265294771969
