,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,binned_r2,bin_regression_coef,bin_regression_intercept
,count,mean,std,median,mean,,,
slope_bin,,,,,,,,
"(-35, -30]",0,,,,,0.0010189502458390898,-0.0012387659008252015,5.884178716560135
"(-30, -25]",0,,,,,0.0010189502458390898,-0.0012387659008252015,5.884178716560135
"(-25, -20]",1,6.062,,6.062,-20.014,0.0010189502458390898,-0.0012387659008252015,5.884178716560135
"(-20, -15]",1,6.137,,6.137,-19.695,0.0010189502458390898,-0.0012387659008252015,5.884178716560135
"(-15, -10]",1,5.753,,5.753,-12.013,0.0010189502458390898,-0.0012387659008252015,5.884178716560135
"(-10, -5]",2,5.675,1.125,5.675,-7.011,0.0010189502458390898,-0.0012387659008252015,5.884178716560135
"(-5, 0]",5,6.204,0.868,6.459,-2.608,0.0010189502458390898,-0.0012387659008252015,5.884178716560135
"(0, 5]",2,6.018,0.561,6.018,3.065,0.0010189502458390898,-0.0012387659008252015,5.884178716560135
"(5, 10]",1,4.685,,4.685,5.161,0.0010189502458390898,-0.0012387659008252015,5.884178716560135
"(10, 15]",3,5.258,1.277,5.653,13.105,0.0010189502458390898,-0.0012387659008252015,5.884178716560135
"(15, 20]",2,6.235,0.421,6.235,18.388,0.0010189502458390898,-0.0012387659008252015,5.884178716560135
"(20, 25]",0,,,,,0.0010189502458390898,-0.0012387659008252015,5.884178716560135
"(25, 30]",0,,,,,0.0010189502458390898,-0.0012387659008252015,5.884178716560135
"(30, 35]",0,,,,,0.0010189502458390898,-0.0012387659008252015,5.884178716560135
