,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,binned_r2,bin_regression_coef,bin_regression_intercept
,count,mean,std,median,mean,,,
slope_bin,,,,,,,,
"(-35, -30]",0,,,,,0.6852896438954102,-0.01994296811813843,5.74210258917285
"(-30, -25]",0,,,,,0.6852896438954102,-0.01994296811813843,5.74210258917285
"(-25, -20]",0,,,,,0.6852896438954102,-0.01994296811813843,5.74210258917285
"(-20, -15]",1,6.137,,6.137,-19.695,0.6852896438954102,-0.01994296811813843,5.74210258917285
"(-15, -10]",2,6.065,0.442,6.065,-12.419,0.6852896438954102,-0.01994296811813843,5.74210258917285
"(-10, -5]",2,5.675,1.125,5.675,-7.011,0.6852896438954102,-0.01994296811813843,5.74210258917285
"(-5, 0]",1,5.094,,5.094,-4.971,0.6852896438954102,-0.01994296811813843,5.74210258917285
"(0, 5]",3,5.893,0.649,6.098,1.537,0.6852896438954102,-0.01994296811813843,5.74210258917285
"(5, 10]",1,6.31,,6.31,9.801,0.6852896438954102,-0.01994296811813843,5.74210258917285
"(10, 15]",0,,,,,0.6852896438954102,-0.01994296811813843,5.74210258917285
"(15, 20]",2,5.374,0.573,5.374,15.958,0.6852896438954102,-0.01994296811813843,5.74210258917285
"(20, 25]",0,,,,,0.6852896438954102,-0.01994296811813843,5.74210258917285
"(25, 30]",0,,,,,0.6852896438954102,-0.01994296811813843,5.74210258917285
"(30, 35]",0,,,,,0.6852896438954102,-0.01994296811813843,5.74210258917285
