slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,0.025139319560219975,-0.005712474580594847,5.240119550473513
"(-30, -25]",0,,,,,0.025139319560219975,-0.005712474580594847,5.240119550473513
"(-25, -20]",0,,,,,0.025139319560219975,-0.005712474580594847,5.240119550473513
"(-20, -15]",1,6.704,,6.704,-19.902,0.025139319560219975,-0.005712474580594847,5.240119550473513
"(-15, -10]",0,,,,,0.025139319560219975,-0.005712474580594847,5.240119550473513
"(-10, -5]",8,5.106,1.434,5.463,-7.408,0.025139319560219975,-0.005712474580594847,5.240119550473513
"(-5, 0]",10,5.005,1.951,5.813,-2.872,0.025139319560219975,-0.005712474580594847,5.240119550473513
"(0, 5]",10,5.276,1.706,5.803,3.102,0.025139319560219975,-0.005712474580594847,5.240119550473513
"(5, 10]",4,5.889,0.747,6.024,5.605,0.025139319560219975,-0.005712474580594847,5.240119550473513
"(10, 15]",2,5.143,0.647,5.143,10.637,0.025139319560219975,-0.005712474580594847,5.240119550473513
"(15, 20]",0,,,,,0.025139319560219975,-0.005712474580594847,5.240119550473513
"(20, 25]",2,4.851,1.612,4.851,20.821,0.025139319560219975,-0.005712474580594847,5.240119550473513
"(25, 30]",0,,,,,0.025139319560219975,-0.005712474580594847,5.240119550473513
"(30, 35]",0,,,,,0.025139319560219975,-0.005712474580594847,5.240119550473513
