slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,0.7537897148209656,-0.4328095005477239,3.781420450118895
"(-30, -25]",0,,,,,0.7537897148209656,-0.4328095005477239,3.781420450118895
"(-25, -20]",0,,,,,0.7537897148209656,-0.4328095005477239,3.781420450118895
"(-20, -15]",0,,,,,0.7537897148209656,-0.4328095005477239,3.781420450118895
"(-15, -10]",0,,,,,0.7537897148209656,-0.4328095005477239,3.781420450118895
"(-10, -5]",2,6.255,0.673,6.255,-5.242,0.7537897148209656,-0.4328095005477239,3.781420450118895
"(-5, 0]",18,3.121,2.929,2.786,-0.509,0.7537897148209656,-0.4328095005477239,3.781420450118895
"(0, 5]",11,4.057,2.062,4.31,0.925,0.7537897148209656,-0.4328095005477239,3.781420450118895
"(5, 10]",0,,,,,0.7537897148209656,-0.4328095005477239,3.781420450118895
"(10, 15]",0,,,,,0.7537897148209656,-0.4328095005477239,3.781420450118895
"(15, 20]",0,,,,,0.7537897148209656,-0.4328095005477239,3.781420450118895
"(20, 25]",0,,,,,0.7537897148209656,-0.4328095005477239,3.781420450118895
"(25, 30]",0,,,,,0.7537897148209656,-0.4328095005477239,3.781420450118895
"(30, 35]",0,,,,,0.7537897148209656,-0.4328095005477239,3.781420450118895
