slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,0.6894099571960202,-0.44071980359536317,3.717257396626457
"(-30, -25]",0,,,,,0.6894099571960202,-0.44071980359536317,3.717257396626457
"(-25, -20]",0,,,,,0.6894099571960202,-0.44071980359536317,3.717257396626457
"(-20, -15]",0,,,,,0.6894099571960202,-0.44071980359536317,3.717257396626457
"(-15, -10]",0,,,,,0.6894099571960202,-0.44071980359536317,3.717257396626457
"(-10, -5]",2,6.255,0.673,6.255,-5.242,0.6894099571960202,-0.44071980359536317,3.717257396626457
"(-5, 0]",53,2.94,2.718,2.906,-0.565,0.6894099571960202,-0.44071980359536317,3.717257396626457
"(0, 5]",26,4.178,2.529,4.861,0.767,0.6894099571960202,-0.44071980359536317,3.717257396626457
"(5, 10]",1,5.742,,5.742,5.854,0.6894099571960202,-0.44071980359536317,3.717257396626457
"(10, 15]",0,,,,,0.6894099571960202,-0.44071980359536317,3.717257396626457
"(15, 20]",0,,,,,0.6894099571960202,-0.44071980359536317,3.717257396626457
"(20, 25]",0,,,,,0.6894099571960202,-0.44071980359536317,3.717257396626457
"(25, 30]",0,,,,,0.6894099571960202,-0.44071980359536317,3.717257396626457
"(30, 35]",0,,,,,0.6894099571960202,-0.44071980359536317,3.717257396626457
