slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,0.07334247739694932,0.01775833262658181,5.094493244902291
"(-30, -25]",0,,,,,0.07334247739694932,0.01775833262658181,5.094493244902291
"(-25, -20]",0,,,,,0.07334247739694932,0.01775833262658181,5.094493244902291
"(-20, -15]",2,5.515,0.427,5.515,-15.833,0.07334247739694932,0.01775833262658181,5.094493244902291
"(-15, -10]",2,3.569,2.627,3.569,-12.858,0.07334247739694932,0.01775833262658181,5.094493244902291
"(-10, -5]",4,5.725,1.401,5.935,-8.018,0.07334247739694932,0.01775833262658181,5.094493244902291
"(-5, 0]",13,4.953,1.759,5.431,-2.794,0.07334247739694932,0.01775833262658181,5.094493244902291
"(0, 5]",8,5.126,1.734,5.463,2.741,0.07334247739694932,0.01775833262658181,5.094493244902291
"(5, 10]",7,5.01,1.129,5.216,7.738,0.07334247739694932,0.01775833262658181,5.094493244902291
"(10, 15]",2,5.495,0.332,5.495,13.907,0.07334247739694932,0.01775833262658181,5.094493244902291
"(15, 20]",1,5.661,,5.661,17.42,0.07334247739694932,0.01775833262658181,5.094493244902291
"(20, 25]",0,,,,,0.07334247739694932,0.01775833262658181,5.094493244902291
"(25, 30]",0,,,,,0.07334247739694932,0.01775833262658181,5.094493244902291
"(30, 35]",0,,,,,0.07334247739694932,0.01775833262658181,5.094493244902291
