,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,binned_r2,bin_regression_coef,bin_regression_intercept
,count,mean,std,median,mean,,,
slope_bin,,,,,,,,
"(-35, -30]",0,,,,,0.020381894765467368,-0.0024660327184289764,5.714429202332986
"(-30, -25]",4,6.183,0.176,6.181,-26.242,0.020381894765467368,-0.0024660327184289764,5.714429202332986
"(-25, -20]",8,6.023,0.328,5.977,-21.598,0.020381894765467368,-0.0024660327184289764,5.714429202332986
"(-20, -15]",8,5.509,1.237,5.755,-18.15,0.020381894765467368,-0.0024660327184289764,5.714429202332986
"(-15, -10]",24,5.193,0.661,5.358,-11.946,0.020381894765467368,-0.0024660327184289764,5.714429202332986
"(-10, -5]",16,5.475,0.737,5.18,-7.445,0.020381894765467368,-0.0024660327184289764,5.714429202332986
"(-5, 0]",25,5.848,0.812,6.041,-2.158,0.020381894765467368,-0.0024660327184289764,5.714429202332986
"(0, 5]",29,5.795,0.674,5.958,2.349,0.020381894765467368,-0.0024660327184289764,5.714429202332986
"(5, 10]",18,5.796,0.57,5.919,7.626,0.020381894765467368,-0.0024660327184289764,5.714429202332986
"(10, 15]",18,5.865,0.559,5.834,11.867,0.020381894765467368,-0.0024660327184289764,5.714429202332986
"(15, 20]",10,5.476,0.789,5.698,17.92,0.020381894765467368,-0.0024660327184289764,5.714429202332986
"(20, 25]",6,5.383,0.522,5.584,21.847,0.020381894765467368,-0.0024660327184289764,5.714429202332986
"(25, 30]",5,6.027,0.144,6.078,25.991,0.020381894765467368,-0.0024660327184289764,5.714429202332986
"(30, 35]",0,,,,,0.020381894765467368,-0.0024660327184289764,5.714429202332986
