slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,0.4537205819254545,0.05517625061920232,4.324324982218882
"(-30, -25]",1,5.466,,5.466,-26.157,0.4537205819254545,0.05517625061920232,4.324324982218882
"(-25, -20]",1,6.058,,6.058,-21.621,0.4537205819254545,0.05517625061920232,4.324324982218882
"(-20, -15]",9,1.854,2.541,0.181,-18.811,0.4537205819254545,0.05517625061920232,4.324324982218882
"(-15, -10]",7,4.713,2.178,5.814,-11.491,0.4537205819254545,0.05517625061920232,4.324324982218882
"(-10, -5]",19,4.044,1.865,4.432,-7.22,0.4537205819254545,0.05517625061920232,4.324324982218882
"(-5, 0]",28,4.544,1.945,5.354,-2.695,0.4537205819254545,0.05517625061920232,4.324324982218882
"(0, 5]",25,5.126,1.51,5.541,2.814,0.4537205819254545,0.05517625061920232,4.324324982218882
"(5, 10]",11,5.131,0.628,5.114,6.982,0.4537205819254545,0.05517625061920232,4.324324982218882
"(10, 15]",9,4.269,1.719,4.603,11.726,0.4537205819254545,0.05517625061920232,4.324324982218882
"(15, 20]",1,4.982,,4.982,16.224,0.4537205819254545,0.05517625061920232,4.324324982218882
"(20, 25]",4,5.114,1.054,5.437,22.327,0.4537205819254545,0.05517625061920232,4.324324982218882
"(25, 30]",0,,,,,0.4537205819254545,0.05517625061920232,4.324324982218882
"(30, 35]",0,,,,,0.4537205819254545,0.05517625061920232,4.324324982218882
