,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,r2
,count,mean,std,median,mean,
slope_bin,,,,,,
"(-35, -30]",0,,,,,
"(-30, -25]",0,,,,,
"(-25, -20]",0,,,,,
"(-20, -15]",0,,,,,
"(-15, -10]",0,,,,,
"(-10, -5]",10,5.547,0.291,5.615,-7.256,0.2838377084602045
"(-5, 0]",1003,3.66,2.558,4.722,-0.39,0.12067842424985331
"(0, 5]",329,4.404,2.371,5.333,0.657,0.015533123677403338
"(5, 10]",7,5.81,0.631,5.571,7.082,0.017122427512306415
"(10, 15]",0,,,,,
"(15, 20]",0,,,,,
"(20, 25]",0,,,,,
"(25, 30]",0,,,,,
"(30, 35]",0,,,,,
