timestamp,simulated_speed,velocity_2d_ms,effective_slope,slope,aspect,landcover,heading
2021-11-25 12:11:30,6.4628780119021,5.5587930407488395,-6.515480443208926,11.3326245749869,138.65354361185214,20.0,131.84962813997294
2021-11-25 12:11:45,6.318306690395028,5.43684353770199,-5.503666343776359,13.119846407572428,127.95020955403646,20.0,138.09283422294453
2021-11-25 12:12:00,6.412702343673048,5.240112433613108,-7.508526673326691,10.770172770818075,125.158269627889,20.0,279.2528394319077
2021-11-25 12:12:15,5.179365637033642,5.672406051376255,-1.2091422001791934,6.411588780085245,113.73607037862142,40.0,72.97686571661721
2021-11-25 12:12:30,4.8998918059268,6.097530011826304,-0.9497232459381006,2.7261821885903674,127.22244084676107,40.0,270.3850515715534
2021-11-25 12:12:45,4.358222858950386,3.5737954759880863,1.0877635275668665,7.423893880844116,107.37010828653972,40.0,96.18390504967189
2021-11-25 12:13:00,4.000146754332489,0.5046772181991422,2.73115015287912,7.660741329193115,109.83103942871094,40.0,158.92049038806627
2021-11-25 12:13:15,5.140287272845075,3.4871883526492913,-2.906026411182252,7.209385832150777,106.5817392985026,40.0,221.10626088791474
2021-11-25 12:13:30,4.5345247320807065,5.697407909930636,1.1633069278142265,2.5599480112393698,127.39460423787435,40.0,165.95531598634673
2021-11-25 12:13:45,4.766405649808009,5.660244248409537,1.1986233136330517,6.532014934221904,113.2316291809082,40.0,192.55562679620505
2021-11-25 12:14:00,4.673789883448142,6.046292678158054,7.484355953964171,11.165469868977864,124.36280301411946,20.0,172.57038525173223
2021-11-25 12:14:15,5.218486399718523,6.074286473955095,4.606900329382616,13.133035326004029,131.2619342803955,20.0,200.26439401879438
2021-11-25 12:14:30,5.1906021793131085,6.253143641923169,6.637234281883791,7.589386514822642,143.6615463256836,60.0,167.41211577453862
2021-11-25 12:14:45,5.976871117381312,6.352266596283283,1.1593688894486576,1.3093744521339734,134.12173334757486,60.0,160.4155140417569
2021-11-25 12:15:00,6.114441799274985,6.237174736659284,-0.0759582545641564,0.08582168122132619,5.310288524627685,60.0,203.27024352478625
2021-11-25 12:15:15,6.192735792604462,5.177178849615776,-0.6899190175089704,0.7227282757560413,13.80908256371816,60.0,200.94524872446073
2021-11-25 12:15:30,6.323084090008797,4.835221968962135,-2.1983367151179203,3.1840188443660735,287.05070504645505,60.0,180.03185894357964
2021-11-25 12:15:45,5.970687595834517,4.290730627449075,-2.2226423647111972,5.639154497782389,172.96905351181826,20.0,227.7490003439495
2021-11-25 12:16:00,5.364225142947564,5.565131587753337,2.7978069058362136,6.049422446886698,187.63392577171325,20.0,274.9063287384181
2021-11-25 12:16:15,4.498029301110573,6.268373148848155,8.604001730446281,10.740273030598958,319.0262985229492,20.0,284.6125227762688
2021-11-25 12:16:30,5.200415832811812,5.424541120875486,-0.16146293097216743,4.536211442947388,329.71008453369143,40.0,211.22737712757512
2021-11-25 12:16:45,4.00674868632744,5.042772703511106,3.1980925652119256,6.191209236780803,328.2739802042643,40.0,269.02605142040125
2021-11-25 12:17:00,4.396886608360695,5.183589575190965,0.4483780715038728,8.202164427439373,329.7877456665039,40.0,245.807022377563
2021-11-25 12:17:15,5.624835598694741,5.44855417778252,-6.845432603337278,7.298440543810527,328.77437489827474,40.0,160.05281088830543
2021-11-25 12:17:30,5.491817179498942,5.987803484432137,-5.8148882646200235,9.598432318369548,309.2764653523763,40.0,173.35959837120433
2021-11-25 12:17:45,4.344952463999774,6.512593009681337,1.7906024781682939,6.807593599955241,259.75876871744794,40.0,186.65742720667635
2021-11-25 12:18:00,4.124534823647526,5.779612710343478,2.783109355501289,4.28221549987793,194.68961385091146,40.0,146.7974418843232
2021-11-25 12:18:15,4.8352345186049215,5.610916259691181,-1.3506170116024394,5.462634182224671,302.87958984375,40.0,223.2000930193345
2021-11-25 12:18:30,5.917676648942097,5.823212676509888,-9.45642316844359,11.46464786529541,272.55216868718463,40.0,162.24932861320306
2021-11-25 12:18:45,5.3755726650602105,5.5467221562571245,-4.720939263704502,7.533304874102274,75.21001091003419,40.0,164.77625955118995
2021-11-25 12:19:00,5.399794964942761,4.667587148794684,-4.971398913137198,5.981989852587382,43.96688216129939,40.0,171.79042869370335
2021-11-25 12:19:15,4.142485140524733,1.3560138181747543,2.1580051081410287,6.27953143119812,32.09191935857137,40.0,193.94637391574423
2021-11-25 12:19:30,3.5389741902238074,2.6782735349405553,5.0075184061313065,5.60060228506724,13.1342278500398,40.0,295.1362008197872
2021-11-25 12:19:45,3.3579796486979947,2.043011968356183,5.767372617213967,6.120845929781596,221.64144646525384,40.0,48.49764215217019
2021-11-25 12:20:00,3.587260842356875,2.855249460674199,4.795971992963968,7.933219774564107,30.8358559290568,40.0,282.1110643226588
2021-11-25 12:20:15,3.110546230220725,2.514933182517667,6.84334877735985,10.189143816630045,45.27480303446452,40.0,237.73916084752818
2021-11-25 12:20:30,3.663267118533563,1.813381888964656,2.396823897642913,11.824918603897094,351.29960378011066,40.0,239.15937525854943
2021-11-25 12:20:45,2.9362567908966253,5.067121609123445,7.71884493307281,9.932396761576335,353.7903447469076,40.0,116.25847963621186
2021-11-25 12:21:00,4.832146628530949,5.42760986662272,-1.3195560028173408,4.048865738511085,251.82680943806966,40.0,102.42632232864972
2021-11-25 12:21:15,5.060101539436216,5.918163734462697,-2.024282718164626,4.272829743226369,201.4346471150716,40.0,320.47034578718655
2021-11-25 12:21:30,4.757475919920328,6.519639644989927,-0.35279559548610634,8.53957115014394,282.2094884236654,40.0,40.42336972131697
