,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,r2
,count,mean,std,median,mean,
slope_bin,,,,,,
"(-35, -30]",0,,,,,
"(-30, -25]",0,,,,,
"(-25, -20]",0,,,,,
"(-20, -15]",0,,,,,
"(-15, -10]",2,5.973,0.35,5.973,-14.054,1.0
"(-10, -5]",1,5.542,,5.542,-5.518,
"(-5, 0]",3,5.48,0.326,5.306,-1.017,0.9511959249437255
"(0, 5]",5,5.82,0.554,5.879,0.854,0.03761519656121781
"(5, 10]",2,6.236,0.203,6.236,6.816,1.0
"(10, 15]",3,6.016,0.543,6.228,13.115,0.48869756943910614
"(15, 20]",1,5.669,,5.669,15.739,
"(20, 25]",0,,,,,
"(25, 30]",0,,,,,
"(30, 35]",0,,,,,
