,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,velocity_2d_ms,effective_slope,r2
,count,mean,std,median,mean,
slope_bin,,,,,,
"(-35, -30]",0,,,,,
"(-30, -25]",0,,,,,
"(-25, -20]",0,,,,,
"(-20, -15]",0,,,,,
"(-15, -10]",0,,,,,
"(-10, -5]",2,5.496,0.296,5.496,-6.826,1.0
"(-5, 0]",180,3.52,2.587,4.593,-0.432,0.12928513443579148
"(0, 5]",86,4.317,2.293,5.276,0.433,0.01898342699076161
"(5, 10]",2,6.427,0.929,6.427,5.884,1.0
"(10, 15]",0,,,,,
"(15, 20]",0,,,,,
"(20, 25]",0,,,,,
"(25, 30]",0,,,,,
"(30, 35]",0,,,,,
